学校名称,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置,官网,经度,纬度
泉州一中,普通,公办,中学,泉州学府路31号,0595-22784689,福建省,泉州市,晋江市,,118.595543,24.920923
上外静安外国语中学,区重点,民办,中学,上海市静安区北京西路653号,021-62533232 021-62558704,上海市,上海市,静安区,,121.462176,31.232796
于都二中,普通,公办,中学,江西省赣州市于都县贡江河畔,,江西省,赣州市,于都县,,115.423295,25.961506
宁波镇海蛟川书院,市重点,民办,中学,浙江省宁波市镇海区庄市逸夫路　,0574-86685208  86685218,浙江省,宁波市,镇海区,,121.606312,29.937426
上海市第五十二中学（初中部）,区重点,公办,中学,上海市虹口区广灵二路122号,021-65447628,上海市,上海市,虹口区,,121.478546,31.28223
厦门音乐学校,普通,公办,中学,厦门市思明区鼓浪屿漳州路32号,"0592-2068439,0592-2069326",福建省,厦门市,思明区,,118.193342,24.489627
郑州第四十四中学,市重点,公办,中学,河南省郑州市庆丰街12号,0371--68719495,河南省,郑州市,惠济区,,113.653478,34.734505
南昌市第十五中学,市重点,公办,中学,江西省南昌市东湖区丹霞路,0791-8633296,江西省,南昌市,东湖区,,115.937026,28.717962
淄博市临淄区实验中学,省重点,公办,中学,山东省淄博市临淄区辛店镇桑坡路177号,0533-7316134,山东省,淄博市,临淄区,,118.281055,36.815294
滨州市博兴二中,市重点,公办,中学,山东省滨州市博兴县博城四路西首,0543-2301031,山东省,滨州市,博兴县,,118.11063,37.145355
中山市石岐区启发中学,市重点,公办,中学,中山市石岐孙文中路龙母庙街70号,0760-8823105,广东省,中山市,,,113.374931,22.522189
南宁市第十九中学（高中）,区重点,公办,中学,广西南宁长岗路68号,0771--2234309,广西,南宁市,青秀区,,108.350461,22.832233
贺兰山高考补习学校,市重点,私立,中学,银川市北方置业教育园区N5,15226217215,宁夏,银川市,永宁县,,106.270871,38.346523
山东省泰安第三中学,市重点,公办,中学,山东省泰安市岱岳区大汶口兴华,0538-8711059,山东省,泰安市,岱岳区,,117.102203,35.957664
宁波市鄞州五乡中学,区重点,公办,中学,宁波市鄞州区五乡镇五乡西路999号,0574-82830333,浙江省,宁波市,鄞州区,,121.663387,29.851423
济南市历城区双语实验学校,市重点,公办,中学,济南市历城区农干院路200号,0531-89000062,山东省,济南市,历城区,,117.093,36.700627
福州教育学院第二附属中学,区重点,公办,中学,福州晋安区桂山路172号,0591-87052789,福建省,福州市,晋安区,,119.32878,26.117546
温州市龙湾区海城中学,普通,公办,中学,温州市龙湾区海城中学,,浙江省,温州市,龙湾区,,120.759124,27.827923
苏州市昆山市葛江中学,普通,公办,中学,江苏省昆山市合兴路764号,0512-57304424,江苏省,苏州市,昆山市,,120.960311,31.368556
烟台市第十四中学（初中部）,省重点,公办,中学,山东省烟台市芝罘区凤凰台路86号,0535-6531860,山东省,烟台市,芝罘区,,121.331404,37.540625
金溪二中,市重点,公办,中学,江西省抚州市金溪县秀谷镇象山南路20号,0794-5292480,江西省,抚州市,金溪县,,116.777099,27.898467
北京市第一五九中学（159中）,区重点,公办,中学,北京市西城区王府仓胡同23号,010-66039705,北京市,北京市,西城区,,116.36127,39.922054
梅州市蕉岭中学,省重点,公办,中学,梅州市蕉岭县蕉城镇镇山路24号,0753—7861401,广东省,梅州市,蕉岭县,,116.17035,24.6573
道县一中,省重点,公办,中学,湖南省永州市道县道江镇寇公街242号,0746-5235066,湖南省,永州市,道　县,,111.604864,25.526522
西安锦园国际学校,市重点,民办,中学,陕西省西安市未央区玄武路,029-86172280,陕西省,西安市,未央区,,108.903158,34.253712
寻乌县第一中学（寻乌一中）,市重点,公办,中学,寻乌县城新罗开发区,0797-2851991,江西省,赣州市,寻乌县,,115.642925,24.971957
洛阳市第二实验中学,普通,公办,中学,洛阳市西工区唐宫中路63号,0379－65638528,河南省,洛阳市,西工区,,112.448654,34.675916
寻乌县第二中学,普通,公办,中学,江西省赣州市寻乌县县城东面,,江西省,赣州市,寻乌县,,114.956581,25.849977
广州市第八十中学,省重点,公办,中学,广州市白云区竹料路口,020-87440140,广东省,广州市,白云区,,113.372932,23.359361
高密市第四中学（初中部）,市重点,公办,中学,山东省潍坊市阚家镇双羊社区驻地,0536-2835014,山东省,潍坊市,高密市,,119.77058,36.350559
上海金山区世界外国语学校,普通,民办,中学,上海市金山区龙皓路1388号,021-57239090,上海市,上海市,金山区,,121.330806,30.752106
上海松江教师进修学院附属立达中学,普通,公办,中学,上海市松江区松汇西路1260号,021-57811395,上海市,上海市,松江区,,121.213489,31.004143
东莞市第十高级中学（原沙田中学）,市重点,公办,中学,广东省东莞市沙田镇湖景路,769-88665795,广东省,东莞市,,,113.614673,22.896258
天津市第二十一中学（天津21中）,市重点,公办,中学,天津市和平区西宁道10号（西开天主堂对面）电话：（022）27815706,022-27815706,天津市,天津市,和平区,,117.192524,39.103773
杭州市朝晖中学,区重点,公办,中学,浙江省杭州市朝晖三区3号,0571-28883251,浙江省,杭州市,下城区,,120.164324,30.285865
苏州大学附属中学（苏大附中）,省重点,公办,中学,江苏省苏州市苏州工业园区东振路29号,0512-62520260,江苏省,苏州市,吴中区,,120.663171,31.29141
惠州市龙门县龙城第一中学（龙城一中）,省重点,公办,中学,惠州市龙门县龙城街道甘南路16号,0752-7780666,广东省,惠州市,龙门县,,114.252661,23.722644
武汉南湖中学,市重点,公办,中学,武汉市武昌区南湖花园平安路888号,027-88778877,湖北省,武汉市,武昌区,,114.316882,30.508176
抚州市资溪县第一中学（资溪一中）,省重点,公办,中学,资溪县鹤城镇苗圃路2号,0794-5798108,江西省,抚州市,资溪县,,117.080478,27.710093
广州市第16中学,省重点,公办,中学,广东省广州市越秀区中山二路37号,020－37633227/37633303,广东省,广州市,越秀区,,113.28978,23.12415
梅州市梅县华侨中学,市重点,公办,中学,广东省梅州市城北教溪口　,0753－2380399　,广东省,梅州市,,,116.079959,24.271813
福建省政和第一中学（）政和一中,省重点,公办,中学,福建省南平市政和县城关北大路122号,,福建省,南平市,政和县,,118.864036,27.368941
郑州一八联合国际学校,区重点,民办,中学,河南省郑州市索凌路与国基路交叉口西北角普罗旺世小区内,0371—63701931,河南省,郑州市,金水区,,113.637345,34.821184
人大附中翠微学校初中部,普通,公办,中学,北京市海淀区复兴路21号,68166309  88272507,北京市,北京市,海淀区,,116.300766,39.913436
上海市青浦区东湖中学,普通,公办,中学,朱家角镇漕平支路121弄8号,021-59242035,上海市,上海市,青浦区,dhzx.qpedu.cn,121.049172,31.106678
福州市连江华侨中学,市重点,公办,中学,连江,电&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;话,福建省,福州市,连江县,,119.542301,26.187958
北京市第三十一中学（31中）,普通,公办,中学,北京市西城区西绒线胡同33号,010-66056317,北京市,北京市,西城区,,116.379685,39.904695
梧州高级中学,省重点,公办,中学,广西梧州市文澜路 11号,0774－3865680 、3865703、3865756、3860596,广西,梧州市,,,111.243454,23.473104
安阳市第二十中学（南京师范大学安阳实验中学）,普通,公办,中学,河南省安阳市文峰区解放大道104号,,河南省,安阳市,文峰区,,114.358331,36.103844
东莞市中堂镇实验中学,市重点,公办,中学,中堂镇袁家涌新湾村,0769-88122962,广东省,东莞市,,,113.66008,23.09326
乌鲁木齐市实验学校（中学部）,省重点,公办,中学,乌市经济技术开发区中亚大道95号,0991 3734461,新疆,乌鲁木齐市,新市区,,87.52411,43.880602
珠海市金湾区三灶中学,普通,公办,中学,珠海市金湾区琴石路466号,0756-7766300,广东省,珠海市,金湾区,,113.352967,22.045277
深圳市罗芳中学,区重点,公办,中学,广东省深圳市罗湖区罗芳路124号,0755-25662776,广东省,深圳市,罗湖区,,114.148617,22.548469
赣州市第一中学（赣州一中）,省重点,公办,中学,江西省赣州市,0797-8112448,江西省,赣州市,,,114.94901,25.853429
唐山市第二十七中学,市重点,公办,中学,河北省唐山市路北区朝阳道70号小区,0315-2037874,河北省,唐山市,路北区,,118.185243,39.662197
中山市港口镇大南中学,市重点,公办,中学,广东省中山市港口镇下南村,0760-88402927,广东省,中山市,,,113.405917,22.621518
寒亭六中,市重点,公办,中学,山东省潍坊市寒亭区幸福路276号,0536-2864286,山东省,潍坊市,寒亭区,,119.209222,36.775758
寒亭外国语学校（中学部）,区重点,公办,中学,山东省潍坊市寒亭区富亭街3033号,0536-8855156,山东省,潍坊市,寒亭区,,119.210866,36.758888
杭州第十四中学（杭十四中）凤起校区,省重点,公办,中学,杭州市下城区凤起路580号,0571-85061809,浙江省,杭州市,下城区,,120.158424,30.264074
东莞玉兰中学（原东莞市第二中学）,市重点,公办,中学,东莞市寮步横坑横塘路3号,076983301472,广东省,东莞市,莞城区,,113.751281,23.041359
昌乐第一中学高中部（昌乐一中高中部）,省重点,公办,中学,山东省潍坊市县城永康路1358号,0536-6297407,山东省,潍坊市,昌乐县,,118.852693,36.684154
日照市实验学校（初中部）,市重点,公办,中学,山东省日照市大学科技园学林路89号,0633-8177788,山东省,日照市,东港区,,119.546084,35.447444
苏州工业园区唯亭学校初中部,市重点,公办,中学,江苏省苏州市吴中区唯亭镇葑亭路,0512-82163003,江苏省,苏州市,吴中区,,120.69628,31.346656
上海市曹杨中学附属学校（曹杨附校）,普通,公办,中学,上海市普陀区香樟路386号,021-52982549 021-52982877 021-52983993,上海市,上海市,普陀区,,121.358884,31.237361
华东师范大学松江实验高级中学,区重点,公办,中学,上海市松江区新城区江学路450号,021-67712078,上海市,上海市,松江区,,121.213715,31.031026
合川区南屏中学,普通,公办,中学,重庆市合川市南办处中南路,023-42722108,重庆市,重庆市,合川区,,106.271087,29.968736
重庆市合川瑞山中学,市重点,公办,中学,重庆合川区青竹湾42号,023-42897222,重庆市,重庆市,合川区,,106.267555,29.995119
邯郸市第十一中学,普通,公办,中学,河北省邯郸市丛台路37号,0310-3044285,河北省,邯郸市,,,114.500043,36.617425
上海市曙光中学,区重点,公办,中学,上海市奉城镇川南奉公路9915号,021-37551104,上海市,上海市,奉贤区,,121.659683,30.922464
北师大二附中未来科技城学校,区重点,公办,中学,北京市西城区新街口外大街12号,010-81750120,北京市,北京市,西城区,,116.306029,40.053006
重庆市长寿第二中学（长寿二中）,市重点,公办,中学,重庆长寿区凤城镇东街64号,023-40514084,重庆市,重庆市,长寿区,,107.077751,29.821915
唐山市友谊中学,省重点,公办,中学,河北省唐山市路南区国防道39号,0315-72176178,河北省,唐山市,路南区,,118.143311,39.621731
哈尔滨市第三十七中学,市重点,公办,中学,黑龙江省哈尔滨市南岗区哈双路478号,0451-87549437,黑龙江,哈尔滨市,南岗区,,126.544992,45.66359
南昌市实验中学,普通,公办,中学,江西省南昌市东湖区南京西路166号,0791-8695093,江西省,南昌市,东湖区,,116.025335,28.651562
藁城市第八中学,普通,公办,中学,河北省石家庄市藁城市育才路东段,88193866,河北省,石家庄市,藁城市,,114.406003,37.872855
徐水县遂城中学,普通,公办,中学,河北省保定市徐水县遂城镇,0312-8989884,河北省,保定市,徐水县,,115.529002,39.045389
温州瑞安市第五中学,市重点,公办,中学,瑞安市飞云镇马道村&#8195;,0577-65562142,浙江省,温州市,瑞安市,,120.616984,27.770678
南雄市黎口中学,市重点,公办,中学,广东省韶关市南雄市黎口路44号,0751-3825406,广东省,韶关市,南雄市,,114.328633,25.125651
重庆市万州上海中学,市重点,公办,中学,重庆市万州区五桥移民新城上海大道298号,（023）85794800,重庆市,重庆市,万州区,,108.449955,30.764191
郑州市第二十四中学,市重点,公办,中学,郑州市中原区建设西路109号,0731-67628825,河南省,郑州市,中原区,,113.611858,34.755216
韶关市翁源县翁源中学,省重点,公办,中学,广东省韶关市翁源县建国路175号,0751-2872722,广东省,韶关市,翁源县,,114.124345,24.347217
泰州姜堰区励才实验学校,普通,民办,中学,泰州市姜堰区长江东路125号,,江苏省,泰州市,姜堰区,,120.159426,32.49306
抚顺市朝鲜族第一中学（抚顺朝一中）,市重点,公办,中学,北京路7号（近理光大厦）,0431-6584563,辽宁省,抚顺市,,,123.922477,41.884864
上海市久隆模范中学,区重点,公办,中学,上海市闸北区岭南路115号,021-56910260,上海市,上海市,静安区,www.jlmfzx.edu.sh...,121.455158,31.308194
东莞市厚街海月学校,市重点,民办,中学,厚街镇新塘三路38号,0769—85966667,广东省,东莞市,,,113.647168,22.915739
五华县梅林中学,普通,公办,中学,广东省梅州市五华县梅林镇梅中路电话：0753-4601563,0753-4601563,广东省,梅州市,五华县,,115.619084,23.630842
滨州市无棣一中,市重点,公办,中学,山东省滨州市无棣县北环路168号,0543-6387007,山东省,滨州市,无棣县,,117.598388,37.745008
广西苍梧县实验中学,普通,公办,中学,苍梧县龙圩镇坡尾,0774-2687521,广西,梧州市,,,111.241905,23.408957
惠州市博罗县三乡中学,市重点,公办,中学,广东省惠州市博罗县218县道,0752-6100374,广东省,惠州市,博罗县,,114.41004,23.535984
天津市塘沽区第二中学（塘沽二中）,区重点,公办,中学,天津市塘沽区浙江路74号,022-5893475,天津市,天津市,塘沽区,,117.646975,39.019239
唐山第一中学（唐山一中）,普通,公办,中学,河北省唐山市路北区翔云道369号,0315-2595071,河北省,唐山市,路北区,,118.13844,39.646564
重庆市奉节夔门高级中学,市重点,公办,中学,重庆市白帝城风景区（宝塔坪）鱼复路55号,023-56536207,重庆市,重庆市,奉节县,,109.555008,31.043208
上海师范大学二附中,普通,公办,中学,石化隆安路48号,021-021-57941720,上海市,上海市,金山区,,121.418362,31.160404
吉林大学附属中学高中部,省重点,公办,中学,吉林省长春市南关区解放大路3059号,0431-88499352,吉林省,长春市,,,125.311978,43.879088
东莞市低涌中学,市重点,公办,中学,东莞市高埗镇高埗大道中3号,0769-38855849 38855850,广东省,东莞市,,,113.726675,23.087319
枣庄市第十六中学,省重点,公办,中学,山东省枣庄市市中区光明东路1号,0632-3690000,山东省,枣庄市,市中区,,117.587391,34.841981
上饶广丰一中,普通,公办,中学,江西省上饶市广丰区智博路1号,,江西省,上饶市,广丰县,,118.184499,28.419167
郑州第三十一中学,市重点,公办,中学,河南省郑州市群英路15号,0371-63757748/63721143/63757747,河南省,郑州市,惠济区,,113.64627,34.791207
重庆市黔江新华中学,市重点,公办,中学,重庆市黔江区城东办事处花鼓苑路99号,023-79226125,重庆市,重庆市,黔江区,,108.779616,29.536632
南宁市第二十五中学,区重点,公办,中学,广西南宁市边阳新街七号,0771-3159224,广西,南宁市,,,108.301335,22.806932
安徽省铜陵市第四中学,普通,公办,中学,安徽省铜陵北京西路615号,0562-2822614,安徽省,铜陵市,,,117.82345,30.938826
青海昆仑中学,省重点,公办,中学,西宁市共和南路11,0971-8176031,青海省,西宁市,城中区,,101.798972,36.610916
菏泽市曹县一中,市重点,公办,中学,山东省菏泽市曹县,0530-7454771,山东省,荷泽市,曹　县,,115.562801,34.80313
北京师范大学成都实验中学（北师大成都实验中学）,市重点,民办,中学,成都市红星路一段37号,028-86932875   86918258,四川省,成都市,锦江区,,104.087681,30.664932
广州市番禺区实验中学,区重点,公办,中学,番禺区市桥光明南路69号,020-84820235,广东省,广州市,番禺区,,113.356289,22.945344
上海南汇第一中学（南汇一中）,普通,公办,中学,上海市浦东区卫星东路16号,021-58026126 58013415,上海市,上海市,浦东新区,,121.758794,31.044501
福州第三十中学,普通,公办,中学,金山新区,电&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;话,福建省,福州市,,,119.285796,26.014087
云浮市郁南县西江中学,省重点,公办,中学,广东省云浮市郁南县城金鱼山上,0766-7592402,广东省,云浮市,郁南县,,111.521003,23.230669
珠海市斗门区城东中学,市重点,公办,中学,珠海市斗门区白蕉镇城东金山市场后山,0756-5506530,广东省,珠海市,斗门区,,113.311321,22.222061
湘潭市湘乡二中,市重点,公办,中学,湖南省湘乡市红仑上,0731-58888888,湖南省,湘潭市,湘乡市,,112.533271,27.728628
济南市商河县第一中学（商河一中）,市重点,公办,中学,山东省济南市商河县明辉路,0531-84880139,山东省,济南市,商河县,,117.150064,37.309302
安徽省铜陵市第十二中学,市重点,公办,中学,铜官山区新光路十二中,0562-5812624 钟士标,安徽省,铜陵市,,,117.801125,30.923495
江苏泗阳中学,省重点,公办,中学,宿迁市泗阳县众兴镇文城中路16号,,江苏省,宿迁市,泗阳县,,118.688148,33.730511
江西婺源天佑中学,市重点,公办,中学,婺源县紫阳镇天佑路6号,0793-7351056,江西省,上饶市,婺源县,,117.83791,29.259306
重庆市江北中学,市重点,公办,中学,重庆市北碚区水土镇新华路171号,（023）68230292,重庆市,重庆市,北碚区,,106.499579,29.787219
湖北省宜昌市第六中学,普通,公办,中学,伍家岗区胜利四路13号,0717-6230956,湖北省,宜昌市,伍家岗区,,111.295488,30.690273
北京西藏中学,普通,公办,中学,北京市北四环东路高原街1号,010-84637179,北京市,北京市,东城区,http://bjxzzx.bjedu.cn,116.42692,39.98797
上海市亭林中学,区重点,公办,中学,上海市金山区亭林镇和平南路86号,021-67230063,上海市,上海市,金山区,,121.316391,30.880047
北京市大兴区狼垡中学,普通,公办,中学,北京市大兴区黄村镇狼垡村,010-61222224,北京市,北京市,大兴区,,116.28986,39.77869
上海虹口高级中学,区重点,公办,中学,上海市虹口区广粤路138号,65927063,上海市,上海市,虹口区,,121.466395,31.282964
衡阳市外国语学校,市重点,公办,中学,湖南省衡阳市石鼓区易赖街72号,0734---8191334,湖南省,衡阳市,珠晖区,,112.604186,26.904497
广州市第十三中学,区重点,公办,中学,广东省广州市越秀区文德路83号,020-83335285,广东省,广州市,越秀区,,113.269625,23.121981
郑州一中经开区实验学校,市重点,民办,中学,郑州经济技术开发区第十五大街与经南八路交叉口,0371-56785737/ 56785215/ 56785760,河南省,郑州市,经开区,,113.796881,34.68892
哈尔滨市第一二二中学,市重点,公办,中学,黑龙江省哈尔滨市香坊区旭升街308号,0451-87951002,黑龙江,哈尔滨市,香坊区,,126.670815,45.719818
临沂市第十三中学,区重点,公办,中学,山东省临沂市兰山区水田路133号,0539-8290975,山东省,临沂市,兰山区,,118.307875,35.07225
内丘县第三中学,普通,公办,中学,河北省邢台市内丘县京广路107号电话：0319-6865982,0319-6865982,上海市,,,,114.538908,37.285678
天津市大港区油田实验中学,市重点,公办,中学,天津市大港区海滨街二号院育才路,022-25926411,天津市,天津市,大港区,,117.501046,38.735363
中山市横栏中学,市重点,公办,中学,中山市横栏镇顺兴北路8号,（0760）87766519,广东省,中山市,,,113.253047,22.523024
北京育才学校通州分校,市重点,公办,中学,北京市通州区梨园镇群芳中二街3号,010-81576606,北京市,北京市,通州区,,116.676247,39.870961
上海市娄山中学,区重点,公办,中学,上海市长宁区玉屏南路158-162号 玉屏南路640号,021-62410246,上海市,上海市,长宁区,,121.401294,31.214984
常州市河海中学,普通,私立,中学,常州河海东路6号,0519-85165862,江苏省,常州市,,,119.982715,31.821038
长沙市望城县星城镇大湖中学,,公办,中学,望城县星城镇东马集镇,0731-8383908,湖南省,长沙市,望城区,,112.872729,28.315265
韶关市曲江区第一中学（曲江一中）,市重点,公办,中学,广东省韶关市曲江区马坝镇环山北路33号,0751-6667982,广东省,韶关市,曲江区,,113.603361,24.691687
深圳市皇岗中学,省重点,公办,中学,福田区金田南路2008号,0755-83822059   83822059,广东省,深圳市,福田区,,114.065656,22.525534
南昌二十中（南昌市第二十中学）,市重点,公办,中学,江西省南昌市西湖区都司前街11号,0791-6624804,江西省,南昌市,西湖区,,115.892752,28.668248
哈尔滨市第十七中学,市重点,公办,中学,黑龙江哈尔滨市南岗区果戈里大街319号,0451-53673364,黑龙江,哈尔滨市,南岗区,,126.650718,45.757783
咸阳纺机学校,市重点,公办,中学,人民中路,13227951678,陕西省,咸阳市,秦都区,,108.710427,34.338223
北京工业大学附属中学（工大附中）,市重点,公办,中学,北京市朝阳区双井富力城小区,010-58768366,北京市,北京市,朝阳区,,116.454755,39.891066
东莞市厚街中学,省重点,公办,中学,东莞市厚街镇教育路厚街中学,0769-85991936,广东省,东莞市,,http://www.dghjzx.cn,113.660623,22.934464
汕头市金山中学南区学校,区重点,民办,中学,汕头市南区磊广公路珠园路段南侧,0754-87392455,广东省,汕头市,濠江区,,116.701571,23.288902
江西省吉水二中,省重点,公办,中学,江西省吉安市吉水县城中心地带,3530401,江西省,吉安市,吉水县,,115.13401,27.214538
温州第十七中学,区重点,公办,中学,浙江省温州十七中路77号,0577-88511422,浙江省,温州市,鹿城区,,120.651946,27.998527
枣庄市第八中学北校,省重点,公办,中学,山东省枣庄市薛城区永兴东路461号,0632-4411257,山东省,枣庄市,薛城区,,117.300076,34.836354
淄博市张店区马尚镇第一中学（马尚一中）,区重点,公办,中学,山东省淄博市张店区北京路,0533-2801787,山东省,淄博市,张店区,,117.997083,36.826793
温州市罗浮中学,市重点,公办,中学,温州永嘉瓯北镇双塔路王家坞路,0577-67311581 67311580,浙江省,温州市,永嘉县,,120.629083,28.041797
武汉市第二十七中学,市重点,公办,中学,桥口区顺道街88号,027-85833987,湖北省,武汉市,,,114.273457,30.576024
乐昌市第三中学,市重点,公办,中学,广东省韶关市乐昌市乐城镇人民北路240号,5581284,广东省,韶关市,乐昌市,,113.35012,25.141639
苏州市景范中学校,区重点,公办,中学,江苏省苏州市人民路范庄前32号,0512-67201724,江苏省,苏州市,平江区,,120.61692,31.313264
江门市新会陈瑞祺中学,市重点,公办,中学,广东省江门市新会区罗坑镇中心南路6路,0750-6488402,广东省,江门市,新会区,,113.04567,22.50793
常州旅游商贸高等职业技术学校,普通,私立,中学,常州市新北区红河路8号,,江苏省,常州市,,,119.960223,31.871427
湛江经济技术开发区第一中学（湛江开发区一中）,市重点,公办,中学,湛江市海滨大道中26号,0759-3271036,广东省,湛江市,廉江市,,110.409353,21.230369
北京师范大学第三附属中学（原北京市第一二三中学）,区重点,公办,中学,北京市北三环中路甲36号,010-62027296 62208568,北京市,北京市,海淀区,,116.365846,39.965522
上海市宝钢第三中学,普通,公办,中学,上海市宝山区月浦四村1号,021-56646746,上海市,上海市,宝山区,,121.426221,31.419304
威海市城里中学,市重点,公办,中学,山东省威海市威海市和平路93号,0631-5277865　,山东省,威海市,环翠区,,122.112496,37.500775
淄博市沂源县实验中学,省重点,公办,中学,山东省淄博市沂源县城荆山路125号,0533-3242381,山东省,淄博市,沂源县,,118.179585,36.180021
南宁市第九中学（高中部）,市重点,公办,中学,广西南宁市人民东路230号,0771—2851416,广西,南宁市,兴宁区,,108.32059,22.820718
茂名市电白县电海中学,省重点,公办,中学,广东省茂名市电白县,5595991,广东省,茂名市,电白县,,111.006824,21.537324
湘潭县第二中学（湘潭二中）,市重点,公办,中学,湖南省湘潭市湘潭县,0731-57601188,湖南省,湘潭市,湘潭县,,112.70634,27.77822
佛山市桂江第二初级中学（桂江二中）,省重点,公办,中学,佛山桂城南一路,0575-86251703,广东省,佛山市,南海区,,113.136395,23.053694
苏州市吴江高级中学,省重点,公办,中学,苏州吴江市中山北路801号,0512-63473988,江苏省,苏州市,吴江区,,120.645882,31.175166
淮北实验高级中学,普通,公办,中学,淮北市相山区相山中路98号,0561-3187200,安徽省,淮北市,相山区,,116.798057,33.933563
重庆巴渝学校,普通,民办,中学,大渡口区双山路256号,,重庆市,重庆市,大渡口区,,106.467205,29.487075
佛山市南海区九江中学,省重点,公办,中学,广东省南海市九江镇船栏街100号,0757-86565878,广东省,佛山市,南海区,,113.021058,22.836855
东乡县第二中学,普通,公办,中学,东乡县恒安东路36号,0794-4232068,江西省,抚州市,东乡县,,116.603159,28.249059
济南市第二中学（济南二中）,市重点,公办,中学,山东省济南市历下区小清河北路9211号,0531-6923458,山东省,济南市,历下区,,117.046312,36.704132
重庆市奉节中学,市重点,公办,中学,重庆市奉节县朱衣镇魏家村2组320号,023-56689088,重庆市,重庆市,奉节县,,109.461105,31.016882
三亚市第三中学,市重点,公办,中学,三亚市解放路683号,0898-88274396,海南省,三亚市,,,109.501211,18.257643
梅州市畲江中学,市重点,公办,中学,梅州市梅县畲江镇畲江中学,0753－2481407　,广东省,梅州市,梅　县,,115.98776,24.04029
韶关市乳源县乳源中学,省重点,公办,中学,韶关市乳源县育才路5号,0751-5371070,广东省,韶关市,翁源县,,113.284018,24.777068
佛山市官窑初级中学,市重点,公办,中学,官窑镇教育路1号,0757-85887305,广东省,佛山市,南海区,,113.083311,23.233006
青州第一中学（青州一中）,省重点,公办,中学,山东省潍坊市青州市驼山路5011号,0536-3261001,山东省,潍坊市,青州市,,118.466827,36.677705
深圳市盐田区外国语学校,市重点,公办,中学,深圳市盐田区大梅沙环碧路69号,0755-25255238,广东省,深圳市,盐田区,,114.247197,22.580334
大连市红旗高级中学,省重点,公办,中学,大辽宁省连市甘井子区红旗街道朝阳寺村13号,（0411）84296141,辽宁省,大连市,甘井子区,,121.488621,38.93714
江门市新会区大鳌中学,市重点,公办,中学,广东省江门市新会区大鳌镇中心三路18号,（0750）6244222,广东省,江门市,新会区,,113.205801,22.478649
重庆鱼洞中学（高中）,市重点,公办,中学,重庆巴南区鱼洞街道三江街40号,023-66242638,重庆市,重庆市,巴南区,,106.505598,29.381627
北京市海淀实验中学（原阜成路中学）,区重点,公办,中学,北京海淀区白堆子131号,010 - 68710758,北京市,北京市,海淀区,,116.322126,39.92611
上海市开元学校,区重点,公办,中学,上海市长宁区凯旋路680弄58号 武夷路528号,021-62402879 021-62402343,上海市,上海市,长宁区,,121.419599,31.211834
寿光一中,市重点,公办,中学,山东省寿光市文圣街2396号,0536-5222378   0536-5265770,山东省,潍坊市,寿光市,,118.762185,36.887105
广西民族大学附属中学,市重点,公办,中学,广西南宁市大学东路188号,0771-3265605； 3260092；,广西,南宁市,西乡塘区,,108.235757,22.846265
肇庆市颂德学校,普通,公办,中学,肇庆市颂德路6号（68区肇庆信安大道北侧）,校长室电话：0758--2766936     教导处：0758--2763205,广东省,肇庆市,端州区,,112.492071,23.065465
惠州市南山学校（中学部）,省重点,公办,中学,广东省惠州市惠城区河南岸下马庄11号小区,0752-2388788/2388777,广东省,惠州市,惠城区,,114.412282,23.054851
威海九中,市重点,公办,中学,威海高区福山路,,山东省,威海市,,,122.068382,37.507271
佛山市南海区西樵中学,省重点,公办,中学,广东省佛山市南海区西樵山北麓,0757-86886254,广东省,佛山市,南海区,,112.987433,22.960988
广州市海珠中学,市重点,民办,中学,广东省广州市海珠区石榴岗路15号,020-84295947,广东省,广州市,海珠区,,113.340114,23.088923
广州市白云区石龙中学,区重点,公办,中学,广州市白云区神山镇石龙墟,020- 36356920,广东省,广州市,白云区,,113.193467,23.314992
苏州市张家港市港口学校初中部,区重点,公办,中学,江苏省张家港市凤凰镇港口街道,0512-58488803,江苏省,苏州市,张家港市,,120.675528,31.755142
杭州市景芳中学,区重点,公办,中学,浙江省杭州市江干区新塘路161号景芳三区,0571-56361857,浙江省,杭州市,江干区,,120.206872,30.269003
临沂市第三中学,省重点,公办,中学,山东省临沂市兰山区育才路98号,0539-8296581,山东省,临沂市,兰山区,,118.310692,35.08849
环江毛南族自治县高级中学,市重点,公办,中学,环江县思恩镇桥东路168号,0778-8821365,广西,河池市,,,108.26131,24.829025
昆明市实验中学（初中部）,市重点,公办,中学,云南省昆明市人民东路300 号,0871-3323327,云南省,昆明市,盘龙区,,102.722213,25.042421
西安西港花园学校,普通,公办,中学,西安市灞桥区新筑镇解放村西,029-83485016,陕西省,西安市,灞桥区,,109.019098,34.396982
新建县象山中学,普通,公办,中学,江西省新建县象山镇,0791-3731398,江西省,南昌市,新建区,,115.984629,28.950407
广州市象贤中学,县重点,公办,中学,广东省广州市番禺区沙湾镇亚中坊路15号电话：020-34877920,020-34877920,广东省,广州市,番禺区,,113.332901,22.906847
宁波市北仑区江南中学,市重点,公办,中学,浙江省宁波北仑红联衙前,0574-86177171,浙江省,宁波市,,,121.702933,29.931142
