学校名称,省份,城市,区县,办学类型,办学性质,官方地址,官方网址,官方电话,电子邮箱,创建时间,占地面积(亩),隶属于,学校地址,学历证书,国家级示范学校,国家级重点学校,省级示范学校,省级重点学校,市级重点学校,省级高水平中等职业学校,市级示范学校,开设专业
东光县职业技术教育中心,河北,沧州市,东光县,中等专业学校,公办,河北沧州市东光县,http://www.dgzjzx.com/,0317-7891301,czdgzz@163.com,,,--,--,--,,是,,是,,,,{}
河北省河间市职业教育中心,河北,沧州市,河间市,中等专业学校,公办,河北沧州市河间市,--,0317-3276676,hjzjwmb@163.com,,,--,--,--,,,,是,,,,"{'机械设计制造类': ['数控技术应用', '焊接技术应用'], '自动化类': ['机电技术应用(港口航运服务与管理)'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务', '航空服务(酒店服务与管理)'], '计算机类': ['计算机应用', '计算机应用(web前端和全站)', '计算机应用(大数据运维)', '计算机应用(新媒体技术)'], '公共卫生与卫生管理类': ['卫生信息管理'], '财务会计类': ['会计事务', '会计事务(管理会计)'], '电子商务类': ['电子商务(新电商运营)'], '教育类': ['幼儿保育']}"
黄骅市职业技术教育中心,河北,沧州市,黄骅市,中等专业学校,公办,河北沧州市黄骅市,https://www.hhzjzx.com,0317-8887815,--,1988,200,--,黄骅市北海路西段,--,,,,是,,,,"{'林业类': ['园林技术'], '机械设计制造类': ['模具制造技术'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '教育类': ['幼儿保育']}"
孟村回族自治县职教中心,河北,沧州市,孟村回族自治县,中等专业学校,公办,河北沧州市孟村回族自治县,http://www.mcxzjzx.com,0317-6725355,mczjzx625@163.com,,,--,--,--,,,,,,,,{}
南皮县职业技术教育中心,河北,沧州市,南皮县,中等专业学校,公办,河北沧州市南皮县,--,0317-8868229,npzzzsb@163.com,1983,--,--,南皮县城南环中路1号,--,,,,是,,,,"{'机械设计制造类': ['机械加工技术'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '教育类': ['幼儿保育']}"
故城县职业技术教育中心,河北,衡水市,故城县,中等专业学校,公办,河北衡水市故城县,--,0318-5330545,--,,,--,--,--,,是,,,,,,{}
洛阳市中等职业学校（弃用）,河南,洛阳市,涧西区,中等专业学校,公办,河南洛阳市涧西区,--,--,--,--,--,--,--,--,,,,,,,,"{'畜牧业类': ['宠物养护与经营'], '自动化类': ['工业机器人技术应用', '机电技术应用'], '道路运输类': ['汽车服务与营销'], '航空运输类': ['航空服务'], '电子信息类': ['物联网技术应用'], '计算机类': ['计算机网络技术', '计算机网络技术', '计算机网络技术', '计算机网络技术', '计算机应用', '计算机网络技术', '计算机应用', '计算机网络技术', '计算机应用', '计算机平面设计', '计算机平面设计', '计算机平面设计', '计算机平面设计'], '工商管理类': ['客户信息服务'], '电子商务类': ['网络营销', '直播电商服务', '电子商务'], '旅游类': ['旅游服务与管理', '导游服务', '高星级饭店运营与管理', '高星级饭店运营与管理', '高星级饭店运营与管理'], '餐饮类': ['中西面点', '中餐烹饪', '中餐烹饪', '中餐烹饪', '中餐烹饪', '中餐烹饪']}"
安阳市殷都区理工中等专业学校,河南,安阳市,殷都区,中等专业学校,公办,河南安阳市殷都区,--,0372-5713533,--,1997,195,--,安阳市殷都区水冶镇太行路18号,--,,,,是,,,,"{'土建施工类': ['建筑工程施工'], '建设工程管理类': ['建筑工程造价'], '机械设计制造类': ['数控技术应用', '焊接技术应用'], '航空装备类': ['无人机操控与维护(校企合作)'], '道路运输类': ['汽车运用与维修(校企合作)'], '城市轨道交通类': ['城市轨道交通运营服务(校企合作)'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用', '计算机平面设计', '数字媒体技术应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务']}"
辉县市职业中等专业学校,河南,新乡市,辉县市,中等专业学校,公办,河南新乡市辉县市,--,0373-6115690,--,1970,--,--,辉县市学院路与辉吴路十字东100米,--,是,是,,是,,,,"{'建筑设计类': ['建筑装饰技术'], '机械设计制造类': ['数控技术应用', '焊接技术应用'], '自动化类': ['工业机器人技术应用'], '航空装备类': ['无人机操控与维护'], '电子信息类': ['电子信息技术', '电子电器应用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '教育类': ['幼儿保育']}"
焦作市总工会职工中等专业学校,河南,焦作市,解放区,中等专业学校,公办,河南焦作市解放区,http://www.jzzgzz.cn,0391-2921987,--,1980,--,焦作市总工会,民主中路24号,--,,,,,,,,"{'计算机类': ['计算机应用'], '艺术设计类': ['美发与形象设计'], '公共服务类': ['现代家政服务与管理']}"
清丰县职业技术学校,河南,濮阳市,清丰县,中等专业学校,公办,河南濮阳市清丰县,https://qfxzyjsxx.30edu.com.cn/,0393-7225917,qfxzj1996@163.com,1996,135,--,清丰县清丰亭西900米,--,,,,是,,,,"{'道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '艺术设计类': ['绘画'], '表演艺术类': ['音乐表演', '舞蹈表演'], '教育类': ['幼儿保育']}"
南乐县职业中等专业学校,河南,濮阳市,南乐县,中等专业学校,公办,河南濮阳市南乐县,--,--,--,,,--,--,--,,,,是,,,,{}
濮阳市油田职业中等专业学校,河南,濮阳市,华龙区,中等专业学校,,河南濮阳市华龙区,http://www.pyytzyxx.com,0393-4821205,--,--,--,--,濮阳市中原路567号,--,,,,是,,,,"{'石油与天然气类': ['油气储运'], '机械设计制造类': ['焊接技术应用', '数控技术应用'], '机电设备类': ['智能设备运行与维护'], '自动化类': ['电气设备运行与控制', '机电技术应用'], '化工技术类': ['化工仪表及自动化'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '计算机类': ['计算机网络技术', '计算机平面设计', '移动应用技术与服务', '数字媒体技术应用'], '通信类': ['现代通信技术应用'], '财务会计类': ['会计事务']}"
漯河市中等专业学校,河南,漯河市,召陵区,中等专业学校,公办,河南漯河市召陵区,--,--,--,,,--,--,--,,,,,,,,{}
漯河市源汇区中等专业学校,河南,漯河市,源汇区,中等专业学校,公办,河南漯河市源汇区,http://www.lhyhzz.com,0395-5397087,--,,,--,--,--,,,,是,,,,{}
漯河市第二中等专业学校,河南,漯河市,郾城区,中等专业学校,公办,河南漯河市郾城区,http://lhezz.com/wzsy,--,--,1993,120,郾城区教育局,漯河市淞江路699号,--,,是,,,,,,"{'农业类': ['作物生产技术'], '机械设计制造类': ['焊接技术应用'], '自动化类': ['机电技术应用'], '纺织服装类': ['服装设计与工艺'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '旅游类': ['高星级饭店运营与管理', '旅游服务与管理'], '艺术设计类': ['工艺美术'], '表演艺术类': ['音乐表演']}"
漯河市召陵区中等专业学校,河南,漯河市,召陵区,中等专业学校,公办,河南漯河市召陵区,--,--,--,,,--,--,--,,,,,,,,{}
漯河市舞阳中等专业学校,河南,漯河市,舞阳县,中等专业学校,公办,河南漯河市舞阳县,--,--,--,,,--,--,--,,是,,,,,,{}
三门峡市陕州区中等专业学校,河南,三门峡市,陕州区,中等专业学校,公办,河南三门峡市陕州区,http://sfdot.oucnet.cn/ShanZhouQu,0398-3859588,--,--,200,--,三门峡市陕州区陕州大道,--,,是,,,,,,"{'农业类': ['作物生产技术'], '机电设备类': ['电梯安装与维修保养'], '汽车制造类': ['汽车制造与检测'], '食品类': ['食品加工工艺'], '航空运输类': ['航空服务'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '艺术设计类': ['绘画'], '表演艺术类': ['音乐表演']}"
灵宝市中等专业学校,河南,三门峡市,灵宝市,中等专业学校,公办,河南三门峡市灵宝市,http://www.lbzyzz.com,0398-6611168,lbzzbgs@126.com,1986,130,市教育局,灵宝市长安路西段,--,是,是,是,,,,,"{'机械设计制造类': ['数控技术应用', '焊接技术应用'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '水上运输类': ['船舶机工与水手'], '计算机类': ['计算机应用', '计算机平面设计'], '电子商务类': ['电子商务'], '餐饮类': ['中餐烹饪', '中西面点'], '艺术设计类': ['美发与形象设计'], '表演艺术类': ['音乐表演', '舞蹈表演'], '民族文化艺术类': ['民族工艺品设计与制作'], '教育类': ['幼儿保育']}"
卢氏县中等专业学校,河南,三门峡市,卢氏县,中等专业学校,公办,河南三门峡市卢氏县,--,--,--,,,--,--,--,,是,,是,,,,{}
南阳第三中等职业学校,河南,南阳市,卧龙区,中等专业学校,,河南南阳市卧龙区,--,--,--,,,--,--,--,,,是,,,,,"{'道路运输类': ['道路与桥梁工程施工'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '艺术设计类': ['绘画']}"
内乡县职业中等专业学校,河南,南阳市,内乡县,中等专业学校,公办,河南南阳市内乡县,--,--,--,1978,153,--,河南省内乡县渚阳大道240号,--,,是,,,,,,"{'农业类': ['作物生产技术'], '畜牧业类': ['畜禽生产技术'], '自动化类': ['机电技术应用'], '纺织服装类': ['服装制作与生产管理'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务']}"
南召县中等职业学校,河南,南阳市,南召县,中等专业学校,公办,河南南阳市南召县,--,--,--,1965,85,南召县教体局,南阳市南召县河东开发区,--,,,是,,,,,"{'林业类': ['园林技术'], '安全类': ['应急救援技术'], '机电设备类': ['光电仪器制造与维修'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '表演艺术类': ['音乐表演']}"
唐河县中等职业学校,河南,南阳市,唐河县,中等专业学校,公办,河南南阳市唐河县,http://thzdzyxx.com,0377-83011177,--,,,--,--,--,,,,是,,,,{}
方城县中等职业学校,河南,南阳市,方城县,中等专业学校,公办,河南南阳市方城县,http://fczz.cn/,0377-67292006,jdxxbgs2010@163.com,,,--,--,--,,,,是,,,,"{'农业类': ['作物生产技术'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '艺术设计类': ['工艺美术']}"
睢县职业技术教育培训中心,河南,商丘市,睢县,中等专业学校,公办,河南商丘市睢县,--,0370-8182378,sxzjzx168@126.com,1998,190,睢县教育体育局,商丘市睢县南环路中段,--,,是,,,,,,"{'林业类': ['园林技术'], '畜牧业类': ['畜禽生产技术'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['数控技术应用', '增材制造技术应用'], '机电设备类': ['制冷和空调设备运行与维护'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '化工技术类': ['化学工艺'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修', '汽车车身修复', '汽车美容与装潢', '汽车服务与营销']}"
宁陵县职业中等专业学校,河南,商丘市,宁陵县,中等专业学校,公办,河南商丘市宁陵县,--,--,--,,,--,--,--,,,,,,,,{}
永城市第四职业中等专业学校,河南,商丘市,永城市,中等专业学校,公办,河南商丘市永城市,--,--,--,,,--,--,--,,,,,,,,{}
潢川县职业中等专业学校,河南,信阳市,潢川县,中等专业学校,公办,河南信阳市潢川县,--,--,--,--,--,--,潢川县宁西路56号,--,,,,,,,,"{'自动化类': ['工业机器人技术应用'], '航空装备类': ['无人机操控与维护'], '纺织服装类': ['服装设计与工艺'], '铁道运输类': ['高速铁路乘务'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用', '计算机平面设计', '大数据技术应用', '计算机网络技术'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '艺术设计类': ['工艺美术']}"
淮滨县中等职业学校,河南,信阳市,淮滨县,中等专业学校,公办,河南信阳市淮滨县,--,0376-7771291,--,--,200,--,河南省淮滨县城关镇淮河大道西段教育园区内,--,,是,,是,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['机械制造技术'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '经济贸易类': ['国际商务'], '电子商务类': ['电子商务'], '餐饮类': ['中餐烹饪'], '艺术设计类': ['美发与形象设计']}"
信阳市第二职业技术学校,河南,信阳市,浉河区,中等专业学校,公办,河南信阳市浉河区,--,--,--,,,--,--,--,,,,,,,,{}
河南省周口市卫生职业中等专业学校,河南,周口市,商水县,中等专业学校,,河南周口市商水县,--,--,--,,,--,--,--,,,,是,,,,{}
河南省周口女子职业中等专业学校,河南,周口市,商水县,中等专业学校,公办,河南周口市商水县,--,--,--,,,--,--,--,,,,,,,,{}
周口市淮阳区职业中等专业学校,河南,周口市,淮阳县,中等专业学校,公办,河南周口市淮阳县,http://www.hyqzyzz.com,0394-2809901,hyqzyzz@163.com,--,111,--,河南省周口市淮阳区西城区明信路南段,--,,,,,,,,"{'农业类': ['作物生产技术'], '畜牧业类': ['畜禽生产技术'], '纺织服装类': ['服装制作与生产管理'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '物流类': ['物流服务与管理'], '餐饮类': ['中西面点'], '艺术设计类': ['艺术设计与制作']}"
沈丘县职业中等专业学校,河南,周口市,沈丘县,中等专业学校,公办,河南周口市沈丘县,--,--,--,,,--,--,--,,,,,,,,"{'计算机类': ['计算机应用'], '艺术设计类': ['绘画'], '表演艺术类': ['音乐表演']}"
沈丘县第二职业中等专业学校,河南,周口市,沈丘县,中等专业学校,公办,河南周口市沈丘县,--,--,--,,,--,--,--,,,,,,,,{}
周口市商水县第一职业中等专业学校,河南,周口市,商水县,中等专业学校,公办,河南周口市商水县,--,--,--,1984,--,--,河南省商水县张庄乡143号,--,,,,,,,,"{'农业类': ['作物生产技术'], '畜牧业类': ['畜禽生产技术'], '自动化类': ['机电技术应用'], '电子信息类': ['电子信息技术'], '计算机类': ['计算机应用'], '经济贸易类': ['国际商务']}"
商水县第二职业中等专业学校,河南,周口市,商水县,中等专业学校,公办,河南周口市商水县,--,--,--,--,--,市县教育局,河南省商水县平店乡平店街5号院,--,,,,是,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['数控技术应用'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务']}"
太康县职业中等专业学校,河南,周口市,太康县,中等专业学校,公办,河南周口市太康县,--,0394-6533358,--,,,--,--,--,,,,,,,,{}
西华县第二职业中等专业学校,河南,周口市,西华县,中等专业学校,公办,河南周口市西华县,--,--,--,1998,--,西华县人民政府,西华县逍遥镇,--,,,,是,,,,"{'自动化类': ['机电技术应用'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用', '计算机平面设计'], '金融类': ['金融事务'], '电子商务类': ['直播电商服务'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '表演艺术类': ['音乐表演']}"
河南省汝南幼儿师范学校,河南,驻马店市,汝南县,中等专业学校,公办,河南驻马店市汝南县,--,--,--,,,--,--,--,,,,,,,,{}
平舆县中等职业学校,河南,驻马店市,平舆县,中等专业学校,公办,河南驻马店市平舆县,--,0396-3730216,--,1994,90,--,平舆县工业大道528号,--,,,,是,,,,"{'农业类': ['作物生产技术'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['模具制造技术'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '艺术设计类': ['美容美体艺术', '绘画'], '表演艺术类': ['音乐表演']}"
上蔡县职业中等专业学校,河南,驻马店市,上蔡县,中等专业学校,公办,河南驻马店市上蔡县,--,0396-2705974,--,1996,120,--,上蔡县通明大道中段,--,,是,,是,,,,"{'农业类': ['作物生产技术'], '畜牧业类': ['畜禽生产技术'], '土建施工类': ['建筑工程施工'], '自动化类': ['机电技术应用'], '食品类': ['食品加工工艺'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销']}"
河南省兰考第一职业中专,河南,开封市,兰考县,中等专业学校,公办,河南开封市兰考县,--,0371-22221122,--,,,--,--,--,,,,,,,,{}
汝州市中等专业学校,河南,平顶山市,汝州市,中等专业学校,公办,河南平顶山市汝州市,http://www.rzzyzz.cn,0375-7075208,--,--,500,--,汝州市科教园区,--,,是,,,,,,"{'畜牧业类': ['畜禽生产技术'], '航空装备类': ['无人机操控与维护'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '电子信息类': ['物联网技术应用'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '餐饮类': ['中餐烹饪']}"
新蔡县职业中等专业学校,河南,驻马店市,新蔡县,中等专业学校,,河南驻马店市新蔡县,--,--,--,--,200,--,河南省新蔡县栎城乡政府南2公里,--,,,,是,,,,"{'汽车制造类': ['汽车制造与检测'], '计算机类': ['计算机应用'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '艺术设计类': ['美容美体艺术', '美发与形象设计'], '表演艺术类': ['音乐表演'], '体育类': ['运动训练']}"
河南省经济技术中等职业学校,河南,郑州市,惠济区,中等专业学校,公办,河南郑州市惠济区,--,0371-63987961,--,,,--,--,--,,,,是,,,,{}
河南省广播电视中等专业学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,--,--,--,,,--,--,--,,,,是,,,,{}
哈尔滨市呼兰区职教中心,黑龙江,哈尔滨市,呼兰区,中等专业学校,公办,黑龙江哈尔滨市呼兰区,--,0451-57336532,--,,,--,--,--,,是,,,,,,{}
木兰县中等职业技术教育中心,黑龙江,哈尔滨市,木兰县,中等专业学校,公办,黑龙江哈尔滨市木兰县,--,0451-57097105,595570666@qq.com,--,1031,木兰县教育局,哈尔滨市木兰县木白路188号,--,,,,是,,,,{}
哈尔滨市新区职业学校,黑龙江,哈尔滨市,松北区,中等专业学校,公办,黑龙江哈尔滨市松北区,--,--,--,,,--,--,--,,,,,,,,{}
宾县职业技术教育中心学校,黑龙江,哈尔滨市,宾县,中等专业学校,公办,黑龙江哈尔滨市宾县,https://www.bxzj.org.cn,0451-57905266,--,1995,75,宾县教育局,宾县宾州镇西城街规划路10号,--,,,,,,,,"{'农业类': ['设施农业生产技术', '农机设备应用与维修'], '机械设计制造类': ['数控技术应用', '焊接技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '艺术设计类': ['工艺美术']}"
通河县职业教育中心学校,黑龙江,哈尔滨市,通河县,中等专业学校,公办,黑龙江哈尔滨市通河县,--,0451-57435566,--,1996,68,通河县教育局,通河县通河镇大通河大街,--,,,,,,,,"{'农业类': ['设施农业生产技术'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '餐饮类': ['中餐烹饪'], '艺术设计类': ['艺术设计与制作']}"
巴彦县职业教育中心学校,黑龙江,哈尔滨市,巴彦县,中等专业学校,公办,黑龙江哈尔滨市巴彦县,--,0451-81630666,--,1983,6,巴彦县教育局,巴彦县巴彦镇西直路1号,--,,,,,,,,"{'农业类': ['作物生产技术'], '轻化工类': ['家具设计与制作'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '艺术设计类': ['工艺美术']}"
桦川县职业教育中心,黑龙江,佳木斯市,桦川县,职业高中,公办,黑龙江佳木斯市桦川县,--,--,--,--,--,桦川县教育局,佳木斯市桦川县悦来镇中学生路,--,,是,,,,,,{}
大庆市蒙妮坦中等职业技术学校,黑龙江,大庆市,让胡路区,中等专业学校,公办,黑龙江大庆市让胡路区,--,0459-5182518,--,1982,245,大庆市教育局,让胡路区爱国路47号,--,是,,,,,,,"{'纺织服装类': ['服装制作与生产管理'], '计算机类': ['计算机应用', '计算机平面设计'], '工商管理类': ['市场营销'], '餐饮类': ['中餐烹饪'], '艺术设计类': ['美容美体艺术', '美发与形象设计']}"
大庆市大同区职业技术教育中心学校,黑龙江,大庆市,大同区,中等专业学校,公办,黑龙江大庆市大同区,--,0459-6275456,--,,,--,--,--,,,,是,,,,{}
讷河市职业技术教育中心学校,黑龙江,齐齐哈尔市,讷河市,中等专业学校,公办,黑龙江齐齐哈尔市讷河市,--,0452-5904561,nhzj10@163.com,1984,139,讷河市教育局,黑龙江省讷河市通江路西段讷尼公路1公里处,--,,是,,,,,,"{'农业类': ['作物生产技术'], '航空装备类': ['无人机操控与维护'], '药品与医疗器械类': ['生物制药工艺'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '艺术设计类': ['工艺美术']}"
克东县职业技术教育中心学校,黑龙江,齐齐哈尔市,克东县,中等专业学校,公办,黑龙江齐齐哈尔市克东县,--,--,--,,,--,--,--,,,,是,,,,{}
拜泉县职业教育中心学校,黑龙江,齐齐哈尔市,拜泉县,中等专业学校,公办,黑龙江齐齐哈尔市拜泉县,--,0452-7323535,--,,,--,--,--,,,,,,,,"{'农业类': ['农机设备应用与维修'], '畜牧业类': ['畜禽生产技术'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用']}"
齐齐哈尔市铁锋区职业技术学校,黑龙江,齐齐哈尔市,铁锋区,中等专业学校,公办,黑龙江齐齐哈尔市铁锋区,--,0452-2214500,--,,,--,--,--,,,,,,,,{}
齐齐哈尔市富拉尔基区职业教育中心学校,黑龙江,齐齐哈尔市,富拉尔基区,中等专业学校,公办,黑龙江齐齐哈尔市富拉尔基区,--,0452-6719106,--,,,--,--,--,,,,是,,,,{}
齐齐哈尔市朝鲜族学校,黑龙江,齐齐哈尔市,建华区,中等专业学校,公办,黑龙江齐齐哈尔市建华区,--,--,--,,,--,--,--,,,,,,,,{}
齐齐哈尔市梅里斯达斡尔族区职业教育中心学校,黑龙江,齐齐哈尔市,梅里斯达斡尔族区,中等专业学校,公办,黑龙江齐齐哈尔市梅里斯达斡尔族区,--,--,--,,,--,--,--,,,,,,,,{}
宁安市职业教育中心,黑龙江,牡丹江市,宁安市,中等专业学校,公办,黑龙江牡丹江市宁安市,--,--,--,,,--,--,--,,,,,,,,{}
牡丹江市交通职业中等专业学校,黑龙江,牡丹江市,爱民区,中等专业学校,公办,黑龙江牡丹江市爱民区,--,0452-6581778,--,,,--,--,--,,,,,,,,{}
鸡东县职业技术学校,黑龙江,鸡西市,鸡东县,中等专业学校,公办,黑龙江鸡西市鸡东县,--,0467-5566355,--,,,--,--,--,,,,是,,,,{}
集贤县职业学校,黑龙江,双鸭山市,集贤县,中等专业学校,公办,黑龙江双鸭山市集贤县,--,0469-6181801,--,1959,165,--,集贤县福双路北侧,--,,是,,,,,,"{'农业类': ['作物生产技术'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '护理类': ['护理'], '财务会计类': ['会计事务']}"
饶河县职教中心,黑龙江,双鸭山市,饶河县,中等专业学校,公办,黑龙江双鸭山市饶河县,--,0469-5623716,--,,,--,--,--,,,,,,,,{}
宝清县职业技术学校,黑龙江,双鸭山市,宝清县,中等专业学校,公办,黑龙江双鸭山市宝清县,--,0469-5417491,--,2012,106,宝清县人民政府,宝清县宝清镇建设街902号,--,,是,,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['焊接技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用']}"
鹤岗职业技术学校,黑龙江,鹤岗市,南山区,中等专业学校,公办,黑龙江鹤岗市南山区,--,0468-3217910,--,,,--,--,--,,,,是,,,,{}
鹤岗矿务局职工中专,黑龙江,鹤岗市,南山区,中等专业学校,民办,黑龙江鹤岗市南山区,--,0468-3737445,--,,,--,--,--,,,,,,,,{}
萝北县职业技术教育中心学校,黑龙江,鹤岗市,萝北县,中等专业学校,公办,黑龙江鹤岗市萝北县,--,0468-6822410,--,,,--,--,--,,,,,,,,{}
铁力市职业技术教育中心学校,黑龙江,伊春市,铁力市,中等专业学校,公办,黑龙江伊春市铁力市,--,0458-2286829,--,2007,38,铁力市教育局,团结社区永顺路宇翔大街21号,--,,,,,,,,"{'畜牧业类': ['畜禽生产技术'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '教育类': ['幼儿保育'], '公共服务类': ['现代家政服务与管理']}"
嘉荫县职业教育中心学校,黑龙江,伊春市,嘉荫县,中等专业学校,公办,黑龙江伊春市嘉荫县,--,0458-2628423,--,,,--,--,--,,,,,,,,{}
孙吴县中等职业技术学校,黑龙江,黑河市,孙吴县,中等专业学校,公办,黑龙江黑河市孙吴县,--,0456-8441501,--,2004,60,孙吴县教体局,孙吴县交通街原西兴学校,--,,,,,,,,"{'计算机类': ['计算机应用'], '教育类': ['幼儿保育']}"
逊克县职业技术学校,黑龙江,黑河市,逊克县,中等专业学校,公办,黑龙江黑河市逊克县,http://zz.xkjy.net,0456-4457510,--,,,--,--,--,,,,,,,,{}
五大连池市职业教育中心学校,黑龙江,黑河市,五大连池市,中等专业学校,公办,黑龙江黑河市五大连池市,--,0456-6396308,--,,,--,--,--,是,,,,,,,{}
北安市职业技术教育中心学校,黑龙江,黑河市,北安市,中等专业学校,公办,黑龙江黑河市北安市,--,0456-6672167,--,,,--,--,--,,,,是,,,,{}
黑河市爱辉区职业技术学校,黑龙江,黑河市,爱辉区,中等专业学校,公办,黑龙江黑河市爱辉区,--,0456-6108581,--,,,--,--,--,,,,,,,,{}
安达市职业技术教育中心,黑龙江,绥化市,安达市,中等专业学校,公办,黑龙江绥化市安达市,--,--,--,,,--,--,--,,,,,,,,{}
庆安县职业技术教育中心学校,黑龙江,绥化市,庆安县,中等专业学校,公办,黑龙江绥化市庆安县,--,0455-4401616,--,2009,38,庆安县政府,庆安县哈伊公路南三中东侧,--,,,,,,,,"{'计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '教育类': ['幼儿保育']}"
韶山市职业中等专业学校,湖南,湘潭市,韶山市,中等专业学校,公办,湖南湘潭市韶山市,http://sszz.30edu.com/,0731-55682407,--,1988,98,韶山市教育局,湖南省韶山市清溪镇韶河路（如意村山霞岭）,--,,,是,,,,,"{'财务会计类': ['会计事务'], '旅游类': ['高星级饭店运营与管理']}"
常德汽车机电学校,湖南,常德市,武陵区,中等专业学校,公办,湖南常德市武陵区,--,--,--,1985,570,--,常德市武陵区高泗路602号,--,,是,是,,,,,"{'纺织服装类': ['服装设计与工艺'], '道路运输类': ['新能源汽车运用与维修', '汽车运用与维修', '汽车车身修复'], '艺术设计类': ['艺术设计与制作', '工艺美术']}"
