序号,学校名称,省市,数据源名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
337,上海市控江中学,上海,上海市控江中学,上海市 杨浦区,市重点,公办,中学,上海市杨浦区双阳路388号,021-65434038,上海市,上海市,杨浦区
338,上海市西南位育中学,上海,上海市西南位育中学,上海市 徐汇区,区重点,民办,中学,上海市徐汇区宜山路671号,021-64705469,上海市,上海市,徐汇区
339,上海市向明中学,上海,上海市向明中学（浦江校区）,上海市 黄浦区,区重点,公办,中学,上海市闵行区浦锦路138号,021-53061356 021-53063368-111,上海市,上海市,黄浦区
340,上海市延安中学,上海,上海市延安中学（初中部）,上海市 长宁区,市重点,公办,中学,上海市长宁区茅台路1111号,021-62901188,上海市,上海市,长宁区
341,乌鲁木齐八一中学,新疆,乌鲁木齐八一中学,新疆 乌鲁木齐市 天山区,省重点,公办,中学,乌鲁木齐市青年路15号,0991-8844839 8835514 8873444,新疆,乌鲁木齐市,天山区
342,安宁中学,云南,昆明市安宁中学,云南省 昆明市 安宁市,市重点,公办,中学,云南省昆明市安宁市,0871-8616868,云南省,昆明市,安宁市
343,宣威市第一中学,云南,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
344,金华市外国语学校,浙江,金华外国语学校,浙江省 金华市 金东区,普通,公办,中学,金华市金东区笃学路1号,0579－81331158,浙江省,金华市,金东区
345,宁波市效实中学,浙江,宁波市效实中学（宁波五中）,浙江省 宁波市,普通,公办,中学,浙江省宁波市白杨街178号,0574－87159610,浙江省,宁波市,
346,浙江省温岭中学,浙江,温岭中学,浙江省 台州市 温岭市,普通,公办,中学,浙江省台州市温岭市万泉东路1号,0576-86026999,浙江省,台州市,温岭市
347,濠江中學,澳门,,,,,,,,,,
348,福建省晋江市第一中学,福建,晋江第一中学（晋江一中）,福建省 泉州市 晋江市,市重点,公办,中学,福建省泉州市晋江市区石鼓山,0595-568247653,福建省,泉州市,晋江市
349,福建省漳州第一中学,福建,漳州市第一中学（漳州一中）,福建省 漳州市 芗城区,省重点,公办,中学,福建省漳州市芗城区芝山南麓,0596-2022008,福建省,漳州市,芗城区
350,庆阳一中,甘肃,庆阳市第一中学（庆阳一中）,甘肃省 庆阳市 西峰区,省重点,公办,中学,甘肃省庆阳市西峰区南大街32号,0934-8213127地址：甘肃省庆阳市西峰区西大街178号,甘肃省,庆阳市,西峰区
351,天水市第一中学,甘肃,天水市第一中学（天水一中）,甘肃省 天水市 秦城区,省重点,公办,中学,甘肃省天水市秦州区泰山东路8号,0938-8271002,甘肃省,天水市,秦城区
352,珠海市第一中学,广东,珠海市第一中学（珠海一中）,广东省 珠海市 香洲区,省重点,公办,中学,珠海市香洲区梅华西路2180,（0756）2630100,广东省,珠海市,香洲区
353,柳州市第十二中学,广西,柳州十二中学,广西 柳州市,普通,公办,中学,,,广西,柳州市,
354,河南大学附属中学,河南,,,,,,,,,,
355,洛阳市第一高级中学,河南,洛阳市第一中学（洛阳一中）,河南省 洛阳市,市重点,公办,中学,河南省洛阳市瀍河区夹马营路1号,0379-62517901,河南省,洛阳市,
356,黑龙江省实验中学,黑龙江,黑龙江省实验中学,黑龙江 哈尔滨市,省重点,公办,中学,黑龙江省哈尔滨市南岗区海城街1号,0451-86431159,黑龙江,哈尔滨市,
357,鸡西市第一中学,黑龙江,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
358,双鸭山市第一中学,黑龙江,双鸭山市第一中学（双鸭山一中）,黑龙江 双鸭山市 尖山区,普通,公办,中学,黑龙江省双鸭山市尖山区,,黑龙江,双鸭山市,尖山区
359,武汉实验外国语学校,湖北,武汉实验外国语学校,湖北省 武汉市,区重点,公办,中学,湖北省武汉市经济技术开发区龙阳大道太子湖1号,027-84897315,湖北省,武汉市,
360,江苏省泗洪中学,江苏,泗洪中学,江苏省 宿迁市 泗洪县,省重点,公办,中学,宿迁市泗洪县泗州东大街3号,0527-86292129,江苏省,宿迁市,泗洪县
361,江苏省泰州中学,江苏,江苏省泰州中学,江苏省 泰州市 ,省重点,公办,中学,江苏省泰州市迎春东路9号,0523-86669005,江苏省,泰州市,
362,南京市第一中学,江苏,南京市第一中学（南京一中）,江苏省 南京市 白下区,省重点,公办,中学,南京市白下区中山南路301,025-68187266  025-68187299,江苏省,南京市,白下区
363,江西省玉山县玉山一中,江西,江西省玉山县第一中学（玉山一中）,江西省 上饶市 玉山县,省重点,公办,中学,江西省玉山县三清大道176号,0793-2553649,江西省,上饶市,玉山县
364,乐平中学,江西,江西省乐平中学,江西省 景德镇市,省重点,公办,中学,乐平市长寿路321号,0798-6227446,江西省,景德镇市,
365,临川一中,江西,江西省临川第一中学（临川一中）,江西省 抚州市 临川区,省重点,公办,中学,江西省抚州市临川区上顿渡镇建设路205号,0794-8441447   0794-8430071,江西省,抚州市,临川区
366,朝阳市第一高级中学,辽宁,日喀则地区第一高级中学（日喀则一高）,西藏 日喀则地区,市重点,公办,中学,西藏自治区日喀则地区山东路23号,0892-8822415,西藏,日喀则地区,
367,呼市一中,内蒙古,呼和浩特市第一中学（呼市一中）,内蒙古 呼和浩特市 回民区,市重点,公办,中学,回民区环河街33号,0471-6362638,内蒙古,呼和浩特市,回民区
368,乌兰浩特一中,内蒙古,,,,,,,,,,
369,宁夏长庆高级中学,宁夏,,,,,,,,,,
370,唐徕回中,宁夏,,,,,,,,,,
371,中卫中学,宁夏,,,,,,,,,,
372,昌邑市第一中学,山东,昌邑一中,山东省 潍坊市 昌邑市,市重点,公办,中学,山东省潍坊市昌邑市潍河西路1号,0536-7212370,山东省,潍坊市,昌邑市
373,德州市第一中学,山东,德州市第一中学（德州一中）,山东省 德州市 德城区,省重点,公办,中学,山东省德州市德城区解放中大道651号,0534-2621594,山东省,德州市,德城区
374,荷泽市第一中学,山东,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
375,济宁市第一中学,山东,济宁市第一中学（济宁一中）,山东省 济宁市 市中区,省重点,公办,中学,山东省济宁市中区南北晁家街1号,0537-2214406,山东省,济宁市,市中区
376,潍坊市寿光现代中学,山东,寿光现代中学,山东省 潍坊市 寿光市,市重点,民办,中学,山东省潍坊市寿光市东环路69号,0536-5115230,山东省,潍坊市,寿光市
377,邹城市第一中学,山东,邹城市第一中学（邹城一中）,山东省 济宁市,市重点,公办,中学,邹城市太平东路,,山东省,济宁市,
378,上海民办兰生复旦中学,上海,兰生复旦中学,上海市 杨浦区,普通,民办,中学,上海市杨浦区世界路8号,021-65118204 65561661,上海市,上海市,杨浦区
379,乌鲁木齐市第八中学,新疆,乌鲁木齐市第八中学,新疆 乌鲁木齐市 天山区,普通,公办,中学,乌鲁木齐市东风路125号,9912616907,新疆,乌鲁木齐市,天山区
380,乐清市乐成寄宿中学,浙江,知临中学（乐成寄宿中学）,浙江省 温州市 乐清市,省重点,民办,中学,浙江省乐清市城南街道朋岙村,0577-27882222,浙江省,温州市,乐清市
381,衢州华茂外国语学校,浙江,衢州华茂外国语学校,浙江省 衢州市 柯城区,市重点,公办,中学,衢州市柯城区书院西路58号,0570-8019576,浙江省,衢州市,柯城区
382,浙江省苍南中学,浙江,浙江省苍南中学,浙江省 温州市 苍南县,省重点,公办,中学,浙江省温州市苍南县灵溪镇仁英路,0577-64838682，64838640,浙江省,温州市,苍南县
383,浙江省杭州第十四中学,浙江,杭州第十四中学（康桥校区）,浙江省 杭州市 拱墅区,市重点,公办,中学,杭州市拱墅区龙腾街500号,0571-88467690,浙江省,杭州市,拱墅区
384,浙江省浦江中学,浙江,,,,,,,,,,
385,重庆市巴川国际高级中学校,重庆,,,,,,,,,,
386,重庆市树人中学校,重庆,,,,,,,,,,
387,阜阳市第三中学,安徽,哈尔滨市第三中学（哈三中）,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区
388,利辛县第一中学,安徽,利辛一中,安徽省 亳州市 利辛县,省重点,公办,中学,安徽省亳州市利辛县城关镇马桥世纪大道第一中学,,安徽省,亳州市,利辛县
389,澳門勞工子弟舉校,澳门,,,,,,,,,,
390,北京景山学校,北京,北京景山学校,北京市 东城区,市重点,公办,中学,北京市东城区灯市口大街53号,010-65252555,北京市,北京市,东城区
391,北京市第二中学,北京,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
392,北京市第十八中学,北京,北京市第十八中学,北京市 丰台区,区重点,公办,中学,北京市丰台区方庄芳星园二区,010-67634326,北京市,北京市,丰台区
393,北京市广渠门中学,北京,北京市广渠门中学,北京市 东城区,区重点,公办,中学,北京市白桥大街甲1号,010-67183773,北京市,北京市,东城区
394,福建省武平县第一中学,福建,武平县第一中学（武平一中）,福建省 龙岩市 武平县,普通,公办,中学,福建省龙岩市武平县沿河西路44号,86-（0）597-4822433,福建省,龙岩市,武平县
395,晋江市季延中学,福建,晋江市季延中学,福建省 泉州市 晋江市,普通,私立,中学,福建省泉州市晋江市罗山街道,,福建省,泉州市,晋江市
396,厦门外国语学校,福建,厦门外国语学校,福建省 厦门市 思明区,省重点,公办,中学,（初中部）厦门市思明区湖滨北路88号/（高中部）海沧区嵩屿路89号,0592-5110967（8063273）,福建省,厦门市,思明区
397,上杭县第一中学,福建,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
398,漳州实验中学,福建,漳州实验中学,福建省 漳州市 龙文区,普通,私立,中学,福建省漳州市龙文区新浦东路139号,0596-2638028,福建省,漳州市,龙文区
399,会宁县第一中学,甘肃,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
400,秦安县第一中学,甘肃,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
401,深圳外国语学校,广东,深圳外国语学校初中部,广东省 深圳市 福田区,省重点,公办,中学,广东省深圳市福田区红荔路2005号,0755-83354153  0755-25282036,广东省,深圳市,福田区
402,毕节市北大附校,贵州,,,,,,,,,,
403,毕节市第一中学,贵州,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
404,凯里市第一中学,贵州,凯里市第一中学（凯里一中）,贵州省 黔东南 凯里市,省重点,公办,中学,贵州省凯里市文化北路30号,0855-8506108 传 真：0855-8503668邮 编：556000 校址：贵州省凯里市文,贵州省,黔东南,凯里市
405,盘州市第二中学,贵州,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
406,嘉积中学,海南,海南省琼海市嘉积中学,海南省 海口市,省重点,公办,中学,海南省琼海市嘉积镇富侨路1号,0898-31692345,海南省,海口市,
407,临高中学,海南,,,,,,,,,,
408,石家庄市第五中学,河北,石家庄市第五中学,河北省 石家庄市,省重点,公办,中学,河北省石家庄市水源街109号,0311-87832934,河北省,石家庄市,
409,焦作市宇华实验学校,河南,焦作市实验中学,河南省 焦作市,市重点,公办,中学,河南省焦作市解放中路148号-196号,0391-2922244,河南省,焦作市,
410,湖北省武昌实验中学,湖北,湖北省武汉市武昌实验中学,湖北省 武汉市 武昌区,省重点,公办,中学,武汉市武昌火炬路48号,027-88873891,湖北省,武汉市,武昌区
411,随州市第二高级中学,湖北,随州二中,湖北省 随州市 曾都区,普通,公办,中学,湖北省随州市曾都区舜井大道97号,0722-3246760,湖北省,随州市,曾都区
412,随州市第一中学,湖北,随州一中,湖北省 随州市 曾都区,省重点,公办,中学,随州市曾都区擂鼓墩大道,,湖北省,随州市,曾都区
413,武汉市洪山高级中学,湖北,武汉市洪山高级中学,湖北省 武汉市 洪山区,省重点,公办,中学,武汉市洪山区雄楚大街熊家咀特一号,027-87188089,湖北省,武汉市,洪山区
414,孝感高级中学,湖北,湖北省孝感高级中学,湖北省 孝感市 ,省重点,公办,中学,湖北省孝感市交通西路特1号,（0712）2049008 2049010,湖北省,孝感市,
415,夷陵中学,湖北,宜昌市夷陵中学,湖北省 宜昌市 夷陵区,省重点,公办,中学,湖北省宜昌市城东大道51号,0717-6924505 6924507 6924106,湖北省,宜昌市,夷陵区
416,湘潭县第一中学,湖南,湘潭市湘潭县一中,湖南省 湘潭市 湘潭县,省重点,公办,中学,湖南省湘潭市湘潭县,0731-57823158,湖南省,湘潭市,湘潭县
417,吉林省四平市第十七中学,吉林,石家庄第十七中学,河北省 石家庄市 桥西区,省重点,公办,中学,河北省石家庄市新华区华西路136号,0311-87883496,河北省,石家庄市,桥西区
418,常州市第二十四中学,江苏,常州市第二十四中学,江苏省 常州市,普通,私立,中学,常州市罗汉路9号,,江苏省,常州市,
419,江苏省常熟中学,江苏,江苏省常熟中学,江苏省 苏州市 常熟市,省重点,公办,中学,江苏省常熟市新世纪大道汇文路,0512-52738192,江苏省,苏州市,常熟市
420,江苏省大丰高级中学,江苏,江苏大丰高级中学,江苏省 盐城市 大丰市,普通,公办,中学,中国江苏省大丰市幸福西路99号,,江苏省,盐城市,大丰市
421,江苏省姜堰中学,江苏,江苏省姜堰中学,江苏省 泰州市 姜堰区,省重点,公办,中学,江苏省姜堰市古田路181号,0523-88242303,江苏省,泰州市,姜堰区
422,江苏省靖江高级中学,江苏,靖江高级中学,江苏省 泰州市 靖江市,省重点,公办,中学,泰州市靖江市通江路与渡江路交汇处,,江苏省,泰州市,靖江市
423,江苏省梁丰高级中学,江苏,江苏省梁丰高级中学,江苏省 苏州市 张家港市,市重点,公办,中学,江苏省张家港市国泰南路2号,0512-56918808,江苏省,苏州市,张家港市
424,江苏省如皋中学,江苏,江苏如皋中学,江苏省 南通市 如皋市,省重点,公办,中学,南通市如皋市育贤路601号,,江苏省,南通市,如皋市
425,江苏省通州高级中学,江苏,,,,,,,,,,
426,江苏省宜兴中学,江苏,无锡市宜兴中学,江苏省 无锡市 宜兴市,市重点,公办,中学,江苏省无锡市宜兴市太湖大道280号&#8195;,0510-87983751，87996664,江苏省,无锡市,宜兴市
427,无锡市大桥实验学校,江苏,无锡市大桥实验学校中学部（大桥中学）,江苏省 无锡市 滨湖区,市重点,民办,中学,江苏省无锡市学前街38号/江苏无锡菱湖大道和具区路交界口,0510-82758311,江苏省,无锡市,滨湖区
428,西安交通大学苏州附属中学,江苏,西安交通大学苏州附属中学,江苏省 苏州市 平江区,普通,公办,中学,江苏省苏州工业园区方洲路598号,0512-65936297、65936296、65936221,江苏省,苏州市,平江区
429,赣州市第一中学,江西,赣州市第一中学（赣州一中）,江西省 赣州市,省重点,公办,中学,江西省赣州市,0797-8112448,江西省,赣州市,
430,高安二中,江西,高安二中,江西省 宜春市 高安市,普通,公办,中学,高安市桥南路442号,0795-5212210,江西省,宜春市,高安市
431,江西省上犹中学,江西,上犹中学,江西省 赣州市 上犹县,普通,公办,中学,上犹县城上西村路66号,0797-8542216,江西省,赣州市,上犹县
432,新余一中,江西,新余市第一中学（新余一中）,江西省 新余市,普通,公办,中学,江西省新余市沿江路358号,0790-6660011/0790-6660039,江西省,新余市,
433,大连市大开一中,辽宁,,,,,,,,,,
434,葫芦岛市第一高级中学,辽宁,日喀则地区第一高级中学（日喀则一高）,西藏 日喀则地区,市重点,公办,中学,西藏自治区日喀则地区山东路23号,0892-8822415,西藏,日喀则地区,
435,通辽实验中学,内蒙古,,,,,,,,,,
436,格尔木市第二中学,青海,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
437,莒县文心高级中学,山东,,,,,,,,,,
438,青岛第五十八中学,山东,青岛第五十八中学,山东省 青岛市 李沧区,省重点,公办,中学,青岛市李沧区九水路20号,0532-87895410,山东省,青岛市,李沧区
439,山东省高密市第一中学,山东,山东省高密市第一中学（高密一中）,山东省 潍坊市 高密市,省重点,公办,中学,山东省高密市文昌街569号,0536－2323289,山东省,潍坊市,高密市
440,山东省泰安第二中学,山东,泰安市第二中学（泰安二中）,山东省 泰安市 泰山区,省重点,公办,中学,山东省泰安市泰山区虎山东路6号,0538-6235328,山东省,泰安市,泰山区
441,山东省招远第一中学,山东,招远市第一中学（招远一中）,山东省 烟台市 招远市,省重点,公办,中学,山东省烟台市招远市文化路12号,0535-8214002,山东省,烟台市,招远市
442,山东省诸城第一中学,山东,诸城市第一中学高中部（诸城一中高中部）,山东省 潍坊市 诸城市,省重点,公办,中学,山东省潍坊市诸城市龙都街道驻地,0536-2168001,山东省,潍坊市,诸城市
443,山东省邹平县第一中学,山东,滨州市邹平一中（高中）,山东省 滨州市 邹平县,市重点,公办,中学,"山东省滨州市邹平县黄山三路205号	 山东省滨州市邹平县鹤伴二路166号",0543-4260001,山东省,滨州市,邹平县
444,太原市五育中学校,山西,太原市五育中学,山西省 太原市 迎泽区,普通,民办,中学,山西省太原市青年路58号,0351-4094825 13994310374,山西省,太原市,迎泽区
445,上海市南洋模范中学,上海,上海市南洋模范中学,上海市 徐汇区,市重点,公办,中学,上海市徐汇区天平路200号,021-62826734,上海市,上海市,徐汇区
446,上海市市西中学,上海,,,,,,,,,,
447,四川省广元外国语学校,四川,,,,,,,,,,
448,宝坻一中,天津,天津市宝坻区第一中学（宝坻一中）,天津市 宝坻区,市重点,公办,中学,天津市宝坻区海滨街北城路东段1号,022-29228996,天津市,天津市,宝坻区
449,静海第一中学,天津,天津市静海县第一中学（静海一中）,天津市 静海区,市重点,公办,中学,天津市静海县地纬路中段,022-68600800,天津市,天津市,静海区
450,天津外国语大学附属中学,天津,,,,,,,,,,
451,杨村第一中学,天津,天津市武清区杨村第一中学（杨村一中）,天津市 武清区,市重点,公办,中学,天津市武清新城南东路282号,022－59689168  82171242,天津市,天津市,武清区
452,林芝市二高,西藏,,,,,,,,,,
453,喇沙書院,香港,,,,,,,,,,
454,聖言中舉,香港,,,,,,,,,,
455,华山中学,新疆,库尔勒华山中学,新疆,省重点,公办,中学,新疆库尔勒市建国路3号,0996-2163060,新疆,,
456,云南省保山第一中学,云南,,,,,,,,,,
457,昭通一中,云南,云南省昭通市第一中学（昭通一中）,云南省 昭通市 昭阳区,省重点,公办,中学,云南省昭通市昭阳区学生路181号,0870-2168019,云南省,昭通市,昭阳区
458,杭州江南实验学校,浙江,杭州江南实验学校,浙江省 杭州市 滨江区,市重点,民办,中学,浙江省杭州市滨江区滨和路958号,0571-86628112,浙江省,杭州市,滨江区
459,杭州市建兰中学,浙江,杭州市建兰中学,浙江省 杭州市 上城区,省重点,民办,中学,浙江省杭州市上城区抚宁巷58号,0571-86815265,浙江省,杭州市,上城区
460,衢州市兴华中学,浙江,郑州兴华中学,河南省 郑州市 二七区,区重点,公办,中学,郑州市二七区兴华北街10号,0371-67436712,河南省,郑州市,二七区
461,绍兴市柯桥区柯桥中学,浙江,绍兴市柯桥中学,浙江省 绍兴市 绍兴县,省重点,公办,中学,浙江省绍兴市绍兴县绍兴县柯桥街道山阴路785号,0575-84115365,浙江省,绍兴市,绍兴县
462,嵊州中学,浙江,,,,,,,,,,
463,浙江省诸暨市洸江教育集团洸江初中,浙江,,,,,,,,,,
464,安徽省安庆市第四中学,安徽,安庆四中,安徽省 安庆市,省重点,公办,中学,安徽省安庆市龙山路67号,0556-5513818,安徽省,安庆市,
465,合肥市第四十六中学,安徽,合肥四十六中学,安徽省 合肥市,普通,公办,中学,合肥市滨湖新区西藏路与云谷路交口,0551-2814546,安徽省,合肥市,
466,芜湖荟萃中学,安徽,芜湖荟萃中学,安徽省 芜湖市 镜湖区,普通,公办,中学,镜湖区黄山中路24号,,安徽省,芜湖市,镜湖区
467,培正中舉,澳门,,,,,,,,,,
468,北京师范大学第二附属中学,北京,北京师范大学第二附属中学（师大二附）,北京市 西城区,市重点,公办,中学,北京市西城区新街口外大街12号,010-62354504,北京市,北京市,西城区
469,北京师范大学附属中学,北京,北京师范大学附属中学（北师大附中）,北京市 西城区,省重点,公办,中学,北京市西城区南新华街18号,010-63014680-207,北京市,北京市,西城区
470,北京市八一学校,北京,北京市八一中学,北京市 海淀区,市重点,公办,中学,北京市海淀区苏州街29号,010-62566896,北京市,北京市,海淀区
471,福建省大田县第一中学,福建,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
472,福建省泉州市培元中学,福建,泉州培元中学,福建省 泉州市,普通,私立,中学,泉州市鲤城区新华北路花棚下,0595-22383362,福建省,泉州市,
473,福建省三明第一中学,福建,三明市第一中学（三明一中）,福建省 三明市 三元区,省重点,公办,中学,福建省三明市三元区富兴路12号,0598-8337573,福建省,三明市,三元区
474,福建省漳平市第三中学,福建,哈尔滨市第三中学（哈三中）,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区
475,漳州立人学校,福建,,,,,,,,,,
476,白银市第十中学,甘肃,山西省实验中学（太原市第十中学）,山西省 太原市 小店区,省重点,公办,中学,山西省太原市晋阳街201号,0351-7897022,山西省,太原市,小店区
477,嘉峪关市酒钢三中,甘肃,嘉峪关市酒钢三中,甘肃省 嘉峪关市,省重点,公办,中学,甘肃省嘉峪关市长城路东路2号,0937-6717343,甘肃省,嘉峪关市,
478,山丹县第一中学,甘肃,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
479,佛山市南海区桂城街道桂江第一初级中学,广东,,,,,,,,,,
480,佛山市南海外国语学校,广东,,,,,,,,,,
481,广州市海诛区六中珠江中学,广东,广州市海珠区六中珠江中学,广东省 广州市 海珠区,区重点,民办,中学,广东省广州大道南逸景路芳盛街60号,020-89022630,广东省,广州市,海珠区
482,深圳大学师范学院附属中学,广东,深圳大学师范学院附属中学（深大附中）,广东省 深圳市 南山区,省重点,公办,中学,深圳市南山区前海路101号,0755-26453698,广东省,深圳市,南山区
483,深圳实验学校高中部,广东,深圳实验学校高中部,广东省 深圳市 南山区,省重点,公办,中学,深圳市南山区西丽街道同发路99号,0755-83361223,广东省,深圳市,南山区
484,深圳市富源学校,广东,深圳市富源学校中学部,广东省 深圳市 宝安区,普通,民办,中学,深圳市宝安区西乡街道洲石路九围富源教育城,0755-27474218  0755-27474318,广东省,深圳市,宝安区
485,深圳市红岭中学,广东,深圳市红岭中学园岭校区,广东省 深圳市 福田区,省重点,公办,中学,深圳市福田区红岭中路园岭九街2027号,0755-22208050,广东省,深圳市,福田区
486,湛江第一中学,广东,湛江一中金沙湾学校（中学部）,广东省 湛江市 赤坎区,省重点,民办,中学,广东省湛江市赤坎区平阳路,0759-3168672,广东省,湛江市,赤坎区
487,钦州二中,广西,广西钦州二中,广西 钦州市 ,省重点,公办,中学,广西钦州市扬帆北大道,0777-2368008,广西,钦州市,
488,梧州高中,广西,,,,,,,,,,
489,观山湖区第一高级中学,贵州,贵阳观山湖一中,贵州省 贵阳市 观山湖区,普通,公办,中学,贵州省贵阳市观山湖区石龙路24号,0851-84808802,贵州省,贵阳市,观山湖区
490,贵州省铜仁第一中学,贵州,铜仁市第一中学（铜仁一中）,贵州省 铜仁地区 铜仁市,省重点,公办,中学,贵州省铜仁市向阳路7号,0856-5223234,贵州省,铜仁地区,铜仁市
491,贵州师范大学附属中学,贵州,贵州师范大学附属中学,贵州省 贵阳市 云岩区,省重点,公办,中学,贵州省贵阳市宝山北路199号,0851-—5934305,贵州省,贵阳市,云岩区
492,黔南布依族苗族自治州都匀第一中学,贵州,都匀市第一中学（都匀一中）,贵州省 黔南 都匀市,省重点,公办,中学,贵州省黔南布依族苗族自治州都匀市环东北路133号（558000）,0851-4838137,贵州省,黔南,都匀市
493,北京师范大学万宁附属中学,海南,,,,,,,,,,
494,海口山高高级实验中学,海南,,,,,,,,,,
495,海口一中,海南,海口市第一中学（海口一中）,海南省 海口市,省重点,公办,中学,海南省海口市龙华路14号,0898—66225979,海南省,海口市,
496,文昌中学,海南,海南省文昌中学,海南省 三亚市,省重点,公办,中学,海南省三亚市教育路46号 海南岛文昌市,0898-63222395,海南省,三亚市,
497,保定市第一中学,河北,保定第一中学（保定一中）,河北省 保定市 北市区,市重点,公办,中学,河北保定河北省保定市三丰路1号,0312-2136544,河北省,保定市,北市区
498,郸城一高,河南,,,,,,,,,,
499,商丘市第一高级中学,河南,商丘市第一中学（商丘一中）,河南省 商丘市,省重点,公办,中学,,,河南省,商丘市,
500,许昌高级中学,河南,,,,,,,,,,
501,荥阳市高级中学,河南,杭州市高级中学,浙江省 杭州市 下城区,省重点,公办,中学,浙江省杭州市下城区凤起路238号,0571-85155827 / 85155951 / 85179872,浙江省,杭州市,下城区
502,郑州市第四中学,河南,郑州四中,河南省 郑州市 二七区,市重点,公办,中学,二七区京广北路86号,0371-6964516,河南省,郑州市,二七区
503,绥化市第一中学,黑龙江,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
504,黄陂区第一中学,湖北,武汉市黄陂区第一中学（黄陂一中）,湖北省 武汉市 黄陂区,省重点,公办,中学,武汉市黄陂区前川街油岗村,027-85920001,湖北省,武汉市,黄陂区
505,衡阳市一中,湖南,,,,,,,,,,
506,湖南省醴陵第一中学,湖南,,,,,,,,,,
507,宁乡市第一高级中学,湖南,长沙市宁乡县第一中学,湖南省 长沙市 宁乡县,省重点,公办,中学,湖南宁乡县玉潭镇二环西路100号,"0731-87806818,87806770",湖南省,长沙市,宁乡县
508,长沙青竹湖湘一外国语学校,湖南,长沙青竹湖湘一外国语学校,湖南省 长沙市 长沙县,市重点,民办,中学,湖南省长沙市青竹湖外商城内青湖大道,0731-84871088,湖南省,长沙市,长沙县
509,吉林毓文中学,吉林,吉林毓文中学,吉林省 吉林市 船营区,市重点,公办,中学,吉林省吉林市松江中路101号,0432-64833505 64833516 13294468855,吉林省,吉林市,船营区
510,长春市九台区第一中学,吉林,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
511,常州市北郊高级中学,江苏,常州市北郊中学（北郊高中）,江苏省 常州市,普通,私立,中学,常州市新北区华山路18号,,江苏省,常州市,
512,常州市正衡中学,江苏,常州市正衡中学,江苏省 常州市 天宁区,普通,民办,中学,江苏省常州市天宁区清凉东路48号,88869675—8068,江苏省,常州市,天宁区
513,江苏省江都中学,江苏,江都中学,江苏省 扬州市 江都市,市重点,公办,中学,江苏省扬州市江都区浦江路155号,0514-86880123,江苏省,扬州市,江都市
514,江苏省南菁高级中学,江苏,江苏省南菁高级中学,江苏省 无锡市 江阴市,省重点,公办,中学,江阴国家高新技术产业开发区龙定路158号,0510-86990206  0510-86884429,江苏省,无锡市,江阴市
515,江苏省宿迁中学,江苏,江苏省宿迁中学,江苏省 宿迁市,省重点,公办,中学,江苏省宿迁市宿城区微山湖路201号,0527-84507001,江苏省,宿迁市,
516,无锡市第一中学,江苏,无锡市第一中学（无锡一中）,江苏省 无锡市,省重点,公办,中学,江苏省无锡市北塘区运河东路98号,0510-82805124,江苏省,无锡市,
517,丰城中学,江西,江西省丰城中学,江西省 宜春市 丰城市,普通,公办,中学,东方红大街56号,0795-6428559,江西省,宜春市,丰城市
