中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
孝昌县科时电脑培训学校,湖北省 孝感市 孝昌县,普通,公办,职业学校,孝昌县委党校,0712-4769017,湖北省,孝感市,孝昌县
吉林省安图县晨星艺术学校,吉林省 延边 安图县,全国重点,公办,职业学校,吉林省安图县明月镇九龙,0433-5828589,吉林省,延边,安图县
郴州新林电子职业学校,湖南省 郴州市,普通,公办,职业学校,郴州市劳动路2号,2265069,湖南省,郴州市,
安阳市农业机械技术学校,河南省 安阳市,全国重点,公办,职业学校,安阳市纱厂路,0372-2923763,河南省,安阳市,
安阳市第一职业中等专业学校,河南省 安阳市,全国重点,公办,职业学校,安阳市相东路南段159号,0372—2530929,河南省,安阳市,
阜阳市正大技术学校,安徽省 阜阳市,全国重点,公办,职业学校,阜阳市阜南路,0558-2176106 刘高伟,安徽省,阜阳市,
南阳市电器职业学校,河南省 南阳市,全国重点,公办,职业学校,河南省南阳市长江东路，从火车站乘4路公交车到第18站宛城区农行站下车向东100米路北即到。,0377-63903568,河南省,南阳市,
六安市黎明职业技能培训学校,安徽省 六安市,全国重点,公办,职业学校,六安市南大庄,0564-3276866,安徽省,六安市,
湖北省仙桃市商业职工中等专业学校,湖北省 湖北直辖 仙桃市,全国重点,公办,职业学校,仙桃市仙源大道六号,0716-3223248  刘兵,湖北省,湖北直辖,仙桃市
哈尔滨市财经学校,黑龙江 哈尔滨市 南岗区,全国重点,公办,职业学校,南岗区学府路四道街15号,0451-6662319,黑龙江,哈尔滨市,南岗区
湖南省建材工业学校,湖南省 湘潭市,全国重点,公办,职业学校,湘潭市昭山开发区,0732-3583114,湖南省,湘潭市,
北京北方精密机械厂技校,北京市 通州区,全国重点,公办,职业学校,佟麟阁街9号,010-69543331 陆银,北京市,北京市,通州区
甘肃省医药职工中专学校,甘肃省 兰州市,全国重点,公办,职业学校,兰州市城关区焦家湾２４３号,0931-866046,甘肃省,兰州市,
娄底机电工程学校,湖南省 娄底市,全国重点,公办,职业学校,竹山路,0738-6422404,湖南省,娄底市,
平顶山市轻工业学校,河南省 平顶山市,全国重点,公办,职业学校,平顶山市卫东区东工人镇镇北1号院,0375-3260029,河南省,平顶山市,
洛阳市财会中等专业学校,河南省 洛阳市,全国重点,公办,职业学校,河南省市洛阳市九都路9号,0379—3207817,河南省,洛阳市,
宿州市灵壁县天辰电脑培训学校,安徽省 宿州市,全国重点,公办,职业学校,宿州市灵壁县大路乡,0557-6844528,安徽省,宿州市,
安徽省宿州市技工学校,安徽省 宿州市,省重点,公办,职业学校,宿州市宿怀路三八桥南后付,0557-2581126,安徽省,宿州市,
无锡市建设技术学校,江苏省 无锡市,全国重点,公办,职业学校,无锡夏家边100号,0510-5132445,江苏省,无锡市,
中国科学院新疆分院,新疆 乌鲁木齐市 沙依巴克区,普通,公办,职业学校,北京南路40号附10号,9913835580,新疆,乌鲁木齐市,沙依巴克区
洛阳市第四职业中学,河南省 洛阳市 洛龙区,普通,私立,职业学校,洛阳市洛龙区学府街,0379-62635638,河南省,洛阳市,洛龙区
山东省诸城卫校,山东省 潍坊市,全国重点,公办,职业学校,诸城福田街115号,0536-785364 1101201,山东省,潍坊市,
南阳市电器职业高级中学,河南省 南阳市,全国重点,公办,职业学校,南阳市长江路西段,0377-3115588,河南省,南阳市,
黑龙江佳木斯三江美术学院,黑龙江 佳木斯市,全国重点,公办,职业学校,中山街28号,0454-8871111,黑龙江,佳木斯市,
郑州二砂技工学校,河南省 郑州市,普通,公办,职业学校,郑州市丰产路100号众成证券大厦５层,0371-67198123 67198058,河南省,郑州市,
银川市纵横计算机学校,宁夏 银川市,全国重点,公办,职业学校,西夏区商行五楼,0951-2094507,宁夏,银川市,
黎明技术学院,辽宁省 沈阳市 大东区,全国重点,公办,职业学校,沈阳市大东区和睦路12号,024-24830853,辽宁省,沈阳市,大东区
广东湛江、廉江市卫生职业技术学校,广东省,市重点,公办,职业学校,广东省（湛江）廉江市西街人民大道164号,15014155584,广东省,,
滨州市高级技工学校,山东省,全国重点,公办,职业学校,渤海五路663号,0543-3372427,山东省,,
贵州科技工程职业学院,贵州省 贵阳市 ,全国重点,公办,职业学校,贵阳市白云大道,（0851）4704066,贵州省,贵阳市,
重庆市永川松既职业高级中学,重庆市 永川区,全国重点,公办,职业学校,永川市松既镇,023-49546015,重庆市,重庆市,永川区
安徽省建筑工程技工学校,安徽省 合肥市,全国重点,公办,职业学校,合肥市合巢路301号,0551-3427471 任建设,安徽省,合肥市,
永州英达技术学校,湖南省 岳阳市,全国重点,公办,职业学校,老汽车站斜对面通化街170号(市金属公司内),0746-8445858,湖南省,岳阳市,
吉林大学交通学院,吉林省 长春市,全国重点,公办,职业学校,工农广场省科技馆一楼108室,0431-5261356,吉林省,长春市,
青海师范大学教师教育学院,青海省 西宁市,全国重点,公办,职业学校,西宁市五四西路38号,0971-6309572,青海省,西宁市,
湖南信息职业技术学院,湖南省 长沙市 望城区,省重点,公办,职业学校,湖南省长沙望城旺旺路169号,0731-2782008,湖南省,长沙市,望城区
福建省漳州市漳浦技工学校,福建省 漳州市,全国重点,公办,职业学校,集美区杏前路22号,0596-3228426,福建省,漳州市,
哈尔滨大千服装设计学校,黑龙江 哈尔滨市 南岗区,普通,民办,职业学校,哈尔滨南岗区学府街53号国贸服装城3号楼2层,0451-86687087,黑龙江,哈尔滨市,南岗区
梧州市轻工技工学校,广西 梧州市,全国重点,公办,职业学校,梧州市富民二路新民里13号,0774-3905089,广西,梧州市,
宁波职业技术学院,浙江省 宁波市 江东区,普通,公办,职业学校,经济技术开发区新大路1069号,0574-86891568,浙江省,宁波市,江东区
洛阳经纪学校,河南省 洛阳市 洛龙区,普通,私立,职业学校,洛龙区洛长路168号,,河南省,洛阳市,洛龙区
望城县劳动和社会保障局职业学校,湖南省 长沙市 望城区,普通,公办,职业学校,湖南望城县高塘岭镇望城大道,0731-8069071,湖南省,长沙市,望城区
天津经济技术开发职业中专,天津市 和平区,全国重点,公办,职业学校,和平区气象台路同安道（天津医科大学对面）,022-23351343 13752441582,天津市,天津市,和平区
百色民族中等专业学校,广西 百色市 ,普通,公办,职业学校,广西百色市中山二路20号,0776-2821642,广西,百色市,
珠海艺术职业学院,广东省 珠海市 ,全国重点,公办,职业学校,珠海大道广安路2号,0756）7796558,广东省,珠海市,
日照市技工学校,山东省 日照市,全国重点,公办,职业学校,海曲西路文阳街,0633-8281814,山东省,日照市,
柳州机车车辆厂技工学校,广西 柳州市,全国重点,公办,职业学校,柳州市革新路六区,0772-3652314,广西,柳州市,
石家庄工商职业学院,河北省 石家庄市 长安区,普通,公办,职业学校,河北省石家庄市桥西区滨河街3号,(0311)83833648,河北省,石家庄市,长安区
安徽化工学校,安徽省 安庆市,全国重点,公办,职业学校,安庆市北郊蜡烛山,0556—5347937  5372787   5372099,安徽省,安庆市,
福建省南平信息中等技术学校,福建省 厦门市,全国重点,公办,职业学校,邵武市古城路145号,0599-8630088,福建省,厦门市,
浙江法商专修学院,浙江省 杭州市 拱墅区,普通,公办,职业学校,杭州市莫干山路1265,0571-88185298,浙江省,杭州市,拱墅区
上海科学技术职业学院,上海市 黄浦区,普通,公办,职业学校,上海市嘉定区金沙路280号,021-9969921,上海市,上海市,黄浦区
鸡西北方外国语学院,黑龙江 鸡西市,全国重点,公办,职业学校,鸡西市文化路191号,0467-6161111,黑龙江,鸡西市,
长沙南方职业学校,湖南省 长沙市 望城区,全国重点,公办,职业学校,长沙市望城县,,湖南省,长沙市,望城区
湖北交通职业技术学院,湖北省 武汉市 洪山区,普通,公办,职业学校,武汉市武昌洪山区雄楚大街455号(430079),(027)87424984,湖北省,武汉市,洪山区
太原警官职业学院,山西省 太原市 ,全国重点,公办,职业学校,太原市市辖区,（0351）7943154,山西省,太原市,
陕西中北专修学院,陕西省 宝鸡市 金台区,全国重点,私立,职业学校,蟠龙新区龙翔大道1号,15991074895,陕西省,宝鸡市,金台区
姚李职业高级中学,安徽省,全国重点,公办,职业学校,霍邱县姚李镇花园大道中段,0564-6811052 杜明江,安徽省,,
新疆石河子职业技术学院,新疆 新疆直辖行政单位 石河子市,普通,公办,职业学校,新疆石河子市北五路38号小区,0993-20595962059569 地址：新疆石河子市北五路38号小区,新疆,新疆直辖行政单位,石河子市
山西五一高等职业学校,山西省 太原市,全国重点,公办,职业学校,太原市平阳路409号海棠大厦对面,0351-7032058,山西省,太原市,
福建交通职业技术学校,福建省 福州市 ,全国重点,公办,职业学校,长乐南路18号,83264475,福建省,福州市,
上海市南湖职业学校第一分校,上海市 虹口区,普通,公办,职业学校,上海市虹口区天宝路1037号,021-65210218,上海市,上海市,虹口区
吉林省榆树市职教中心,吉林省 长春市 榆树市,全国重点,公办,职业学校,吉林省长春市榆树市职教中心,0431-3619003,吉林省,长春市,榆树市
济南市硅谷职业培训学校,山东省 济南市 天桥区,全国重点,公办,职业学校,天桥区标山南路47号,0531-82859515,山东省,济南市,天桥区
武宣县中等职业技术学校,广西 南宁市,全国重点,公办,职业学校,武宣镇城北路353号,0774-5291149,广西,南宁市,
山东省轻工技工学校,山东省 潍坊市,全国重点,公办,职业学校,山东省潍坊市北宫东街272号,0536-8664220,山东省,潍坊市,
新疆昌吉职业技术学院,新疆 昌吉,普通,公办,职业学校,新疆昌吉市延安南路83号,,新疆,昌吉,
上海工商职业技术学校总校,上海市 闵行区,普通,公办,职业学校,上海市闵行区吴中路1979号,021-64186521,上海市,上海市,闵行区
许昌技术经济学校,河南省 许昌市,全国重点,公办,职业学校,长葛市长社路西段24号,0374-6316069,河南省,许昌市,
云南省旅游学校,云南省 昆明市,全国重点,公办,职业学校,云南省昆明市龙泉路268号,0871-5187406,云南省,昆明市,
中国共产主义青年团广州市团校,广东省 广州市 天河区,全国重点,公办,职业学校,广州市天河区石牌岗顶广州市团校,020-87543787,广东省,广州市,天河区
长沙民政职业学院,湖南省 长沙市 长沙县,全国重点,公办,职业学校,湖南长沙香樟路22号,0731-82763288,湖南省,长沙市,长沙县
南宁市第六中等职业学校,广西 南宁市 青秀区,普通,公办,职业学校,南宁市桃源路64,,广西,南宁市,青秀区
桂林市财贸管理中专学校,广西 桂林市,全国重点,公办,职业学校,桂林市北门清风路105号,0773-2610542,广西,桂林市,
吉林市滑雪运动学校,吉林省 吉林市,全国重点,公办,职业学校,吉林省吉林市船营区昆明街28号,0432-2024915,吉林省,吉林市,
西安大明职业学校,陕西省 西安市 雁塔区,普通,公办,职业学校,西安现代农业开发区尚稷西路西站,029-86604948,陕西省,西安市,雁塔区
合肥炮兵学院军地两用人才培训学校,安徽省 合肥市 蜀山区,全国重点,公办,职业学校,井岗镇大蜀山北炮院驾训大队,0551-5388397 王胜峰,安徽省,合肥市,蜀山区
广西动力技工学校,广西 南宁市,全国重点,公办,职业学校,南宁市长岗路六里4号,0771-5622565,广西,南宁市,
福建省平和职业技术学校,福建省 福州市,全国重点,公办,职业学校,平和县小溪镇旗仔山路1号,0596-5262001,福建省,福州市,
竹山县职业技术学校,湖北省 十堰市,全国重点,公办,职业学校,竹山县人民路1号,0719-4225461,湖北省,十堰市,
大市聚职业中学,浙江省 绍兴市 新昌县,普通,公办,职业学校,浙江省绍兴市新昌县大市聚职业中学,,浙江省,绍兴市,新昌县
苏州工业园区职业技术学院,江苏省 苏州市 沧浪区,普通,公办,职业学校,苏州市城东工业园区苏茜路68号,0512-67125523,江苏省,苏州市,沧浪区
徐州市时代职业培训学校,江苏省 徐州市,全国重点,公办,职业学校,一部：徐州市中山北路272号（空军后勤学院北）二部：徐州市下淀路子11巷1号,0516-82373967   李老师、陈老师,江苏省,徐州市,
北京经贸职业学院,北京市 房山区,普通,公办,职业学校,北京房山区良乡长虹东路高教园区,010-81355922,北京市,北京市,房山区
西安旅游职业中等专业学校,陕西省 西安市 莲湖区,普通,公办,职业学校,菊花园19号,029—87279236,陕西省,西安市,莲湖区
山东医学高等专科学校,山东省 济南市,普通,公办,职业学校,济南市二环南路5460号电话：0531-86305555,0531-86305555 86305777　邮编：250002,山东省,济南市,
沈阳影视演艺学校,辽宁省 沈阳市,全国重点,公办,职业学校,沈阳市黄河北大街黑山路1号,024-86523712,辽宁省,沈阳市,
西安名流美容美容职业技能学校,陕西省 西安市 碑林区,普通,民办,职业学校,西安市碑林区帝源豪庭5楼,15529096917,陕西省,西安市,碑林区
太原科技大学经济与管理学院,山西省 太原市,全国重点,公办,职业学校,窊流路138号,0351-6222521,山西省,太原市,
北京市实用美术职业学校,北京市 西城区,全国重点,公办,职业学校,百万庄大街19号,010-68341827  68347677 王真,北京市,北京市,西城区
湖南省冷水江市技工学校,湖南省 娄底市 冷水江市,普通,公办,职业学校,冷水江市沿江路19号,0738-5212119,湖南省,娄底市,冷水江市
广东国土资源工程学校,广东省 广州市 天河区,全国重点,公办,职业学校,天河区东圃新塘街,020-82372616,广东省,广州市,天河区
湖北省随州市农广校,湖北省 随州市,普通,公办,职业学校,随州市明珠广场东100米,0722-3314083,湖北省,随州市,
英山理工中专,湖北省 黄冈市 英山县,全国重点,公办,职业学校,英山温泉镇黄坪巷168号,0713-7012748,湖北省,黄冈市,英山县
私立华联学院,广东省 广州市 天河区,普通,私立,职业学校,广州市天河区东圃小新塘合景路99号,(020)82373721、82342360传真：（020）82373751 地址:广州市天河区东圃,广东省,广州市,天河区
郑州市铁路技师学院,河南省 郑州市 惠济区,全国重点,公办,职业学校,郑州市陇海中路勤劳街58号,0371-68320750,河南省,郑州市,惠济区
图们市职业高中,吉林省,全国重点,公办,职业学校,吉林省图们市新化街68号,0433-36285733,吉林省,,
厦门集美达中专,福建省 福州市 ,全国重点,公办,职业学校,厦门集美达中专学校,,福建省,福州市,
湖南省汨罗市职业中专学校,湖南省 岳阳市 汨罗市,全国重点,公办,职业学校,湖南省岳阳市汨罗市高坊镇高泉南路,0730-5870362,湖南省,岳阳市,汨罗市
广西钦州市经贸学校,广西 钦州市,普通,公办,职业学校,南珠东大街、市委党校内,0-13317773738,广西,钦州市,
国立吴淞商船专科学校,上海市 浦东新区,全国重点,公办,职业学校,上海 浦东新区 浦东大道1550号,58855200-4218,上海市,上海市,浦东新区
中央美术学院附属中学,北京市 东城区,全国重点,公办,职业学校,燕顺路18号,010—61597045,北京市,北京市,东城区
上海市群益职业技术学校（浦江镇校区）,上海市 闵行区,普通,公办,职业学校,上海市闵行区叶家桥路200号,021-64115646 64110244,上海市,上海市,闵行区
黎明职业大学,福建省 泉州市,普通,公办,职业学校,福建省泉州市泉秀东街,,福建省,泉州市,
泉州医学高等专科学校,福建省 泉州市,普通,私立,职业学校,泉州市洛江区安吉路2号,0595-22783475 传真：0595-22783475,福建省,泉州市,
贵州新兴中等职业学校,贵州省 贵阳市 南明区,普通,民办,职业学校,朝阳洞路49号（原军体校内）,17784907996,贵州省,贵阳市,南明区
黑龙江佳木斯市旅游外事高级职业中学,黑龙江 佳木斯市,全国重点,公办,职业学校,光复路466号,0454-8314596,黑龙江,佳木斯市,
白山市碧莹电脑学校,吉林省 白山市,普通,公办,职业学校,白山市浑江大街2号,"0439-8919499 休琴 	      0439-3330777",吉林省,白山市,
福州英华职业学院,福建省 福州市 仓山区,全国重点,公办,职业学校,福州市仓山区长安路60号,0591）83507394,福建省,福州市,仓山区
河南医药高级技工学校,河南省 开封市,全国重点,公办,职业学校,河南省开封市机场北路东段,0-13937852319,河南省,开封市,
湖南省株洲市交通技工学校,湖南省 株洲市,全国重点,公办,职业学校,红旗北路19号,0733-8437912,湖南省,株洲市,
无锡商业职业技术学院,江苏省 无锡市,普通,公办,职业学校,无锡市钱胡路809号,,江苏省,无锡市,
新疆化学工业学校,新疆 乌鲁木齐市 头屯河区,普通,公办,职业学校,新疆乌鲁木齐市卡子湾乌奇公路7号,0991-6866755,新疆,乌鲁木齐市,头屯河区
浙江公路技师学院,浙江省 杭州市 西湖区,普通,公办,职业学校,西溪路681号,0571-87158016,浙江省,杭州市,西湖区
湖北省宜昌市电子工业学校,湖北省 宜昌市,全国重点,公办,职业学校,宜昌市土成路六号,0717-6736670 陈现新、李斌山,湖北省,宜昌市,
江西公安专科学校,上海市 黄浦区,全国重点,公办,职业学校,江西省南昌市青云谱路279号,0791-7288767,上海市,上海市,黄浦区
天津城市职业学院,天津市 河西区,全国重点,公办,职业学校,天津市真理道27号,022-26430589,天津市,天津市,河西区
辽宁酒店管理学校,辽宁省 沈阳市 皇姑区,全国重点,公办,职业学校,辽宁省沈阳市皇姑区黄河南大街105号,024-86807529  马老师 李老师,辽宁省,沈阳市,皇姑区
洛阳有色金属工业学校,河南省 洛阳市 涧西区,普通,私立,职业学校,涧西区建设路50号,,河南省,洛阳市,涧西区
海安技工学校,江苏省 扬州市,全国重点,公办,职业学校,江苏省海安县城曙光东二路24号,0513-8817793 崔峥嵘,江苏省,扬州市,
四川大学锦城学院,四川省 成都市 高新区,普通,公办,职业学校,高新西区西源大道1号,028-87580068,四川省,成都市,高新区
内蒙古电子信息职业技术学院,内蒙古 呼和浩特市,普通,公办,职业学校,呼和浩特市乌兰察布东街69号,,内蒙古,呼和浩特市,
安徽艺术学院,安徽省 合肥市 包河区,普通,公办,职业学校,安徽省合肥市宣城路16号,0551—4655938,安徽省,合肥市,包河区
衡阳市华鑫信息中等职业学校,湖南省 衡阳市,市重点,公办,职业学校,衡阳市雁峰区,13272314322,湖南省,衡阳市,
湘潭县职业技术学校,湖南省 湘潭市 湘潭县,全国重点,公办,职业学校,湘潭县易俗河镇桃李路9号,18573246102,湖南省,湘潭市,湘潭县
广东粤剧学校,广东省 佛山市 南海区,全国重点,公办,职业学校,广东省佛山市南海大沥横岗高尔夫路广东粤剧学校（艺术学校）,0757-85583616,广东省,佛山市,南海区
枣庄市台儿庄区竞技体育学校,山东省 枣庄市,全国重点,公办,职业学校,区体育局田径场北端,0632-6657013,山东省,枣庄市,
重庆金龙计算机专修学校,重庆市 巴南区,全国重点,公办,职业学校,重庆市巴南区鱼洞街道鱼轻路10号,023-66237717,重庆市,重庆市,巴南区
梧州商贸学校,广西 梧州市,普通,公办,职业学校,广西梧州高望路109号,0774-2687002,广西,梧州市,
江西信息应用职业技术学院,江西省 南昌市 青云谱区,普通,公办,职业学校,南昌市青云谱区气象路58号,0791-5273256,江西省,南昌市,青云谱区
西安职业技术学院,陕西省 西安市 长安区,普通,公办,职业学校,西安市鱼斗路251,029-88519610,陕西省,西安市,长安区
潍坊职业学院寒亭校区,山东省 潍坊市,普通,公办,职业学校,潍坊市寒亭区幸福路206号,,山东省,潍坊市,
宿州市灵壁县文静服装培训学校,安徽省 宿州市,全国重点,公办,职业学校,宿州市灵壁县农民大街,0557-6031851,安徽省,宿州市,
大同市兴同艺术师范学校,山西省 大同市,普通,私立,职业学校,山西省大同市城区民航街1号,,山西省,大同市,
天津市汉沽区体育场小学,天津市 汉沽区,普通,公办,职业学校,天津市汉沽区新村路23号,022-67113586,天津市,天津市,汉沽区
广西钦州农业学校,广西 钦州市 ,全国重点,公办,职业学校,南珠东大街 88 号,0777-2392091,广西,钦州市,
西安导游礼仪职业学校,陕西省 西安市 碑林区,普通,公办,职业学校,西安市东关龙渠堡61号,029-82491382,陕西省,西安市,碑林区
甘肃省财经职工中专学校,甘肃省 兰州市,全国重点,公办,职业学校,兰州市七里河区蒋家坪１号,0931-2861543,甘肃省,兰州市,
山东济南民政学校,山东省 济南市,全国重点,公办,职业学校,民政路110号,0531-2896370,山东省,济南市,
郎溪县高级职业中学,安徽省,全国重点,公办,职业学校,郎溪县建平镇学后北路19号,0563-7012770,安徽省,,
枣庄矿业集团职业中专,山东省 枣庄市,全国重点,公办,职业学校,薛城区邹坞镇,0632-4077021,山东省,枣庄市,
桂林市工业中等专业学校,广西 桂林市,区重点,公办,职业学校,环城北二路16号,0773-2191118,广西,桂林市,
合川市精诚技术学校,重庆市 合川区,全国重点,公办,职业学校,合川市交通街,023-42837500,重庆市,重庆市,合川区
威海信息工程学校,山东省 威海市,全国重点,公办,职业学校,高技区山大路17号,0631-5625318,山东省,威海市,
泗县技工学校,安徽省 宿州市 泗　县,全国重点,公办,职业学校,泗县泗城镇桃园东村11号,0557-7022496 李训荣,安徽省,宿州市,泗　县
福州蓝天艺术培训中心（包含音乐高考辅导）,福建省 福州市,全国重点,公办,职业学校,市利民路4号,0-13859097652,福建省,福州市,
甘肃省庆阳林业学校,甘肃省,全国重点,公办,职业学校,庆阳市北大街276号,0934-8618037,甘肃省,,
淄博王贵峰化妆、形象设计培训学校,山东省 淄博市 张店区,县重点,民办,职业学校,淄博张店美食街华夏国际南门一楼,18678173450,山东省,淄博市,张店区
苏州高博软件技术职业学院,江苏省 苏州市,普通,民办,职业学校,苏州高新区科技城青山路5号,0512-65110500，62833125,江苏省,苏州市,
安阳市旅游学校,河南省 安阳市,全国重点,公办,职业学校,安阳市解放大道69号,0372-5919249,河南省,安阳市,
新疆财经大学商务学院,新疆 乌鲁木齐市 天山区,普通,公办,职业学校,杭州西街237,0991-7842278,新疆,乌鲁木齐市,天山区
国际关系学院,北京市 海淀区,普通,公办,职业学校,北京市海淀区坡上村12号,010-62861579,北京市,北京市,海淀区
南宁市第二卫生学校,广西 南宁市,普通,公办,职业学校,广西南宁市宾阳县黎塘镇金龙大道,0771-8219182,广西,南宁市,
浙江邮电职业技术学院,浙江省 绍兴市 越城区,普通,公办,职业学校,绍兴市山阴路474号,,浙江省,绍兴市,越城区
沈阳大学新民分院附属小学,辽宁省 沈阳市 新民市,普通,公办,职业学校,新民市民族街45号,024-62274743,辽宁省,沈阳市,新民市
桂林市第二技工学校,广西 柳州市,全国重点,公办,职业学校,桂林市灵川县灵青路,0773-6860026,广西,柳州市,
泉州市电子学校,福建省 泉州市,全国重点,公办,职业学校,泉州市区刺桐北路,0595-22760318,福建省,泉州市,
咸阳市卫生学校,陕西省 咸阳市,全国重点,公办,职业学校,咸阳市毕塬路中段,029-3212820,陕西省,咸阳市,
成都铁路工程学校,四川省 成都市 金牛区,普通,公办,职业学校,成都是郫县红光镇金仙桥路10号,028-87665571 张老师,四川省,成都市,金牛区
烟台标榜美容美发技能培训学校,山东省 烟台市 芝罘区,普通,私立,职业学校,烟台市芝罘区,15866378427,山东省,烟台市,芝罘区
六盘水职业技术学院,贵州省 六盘水市,全国重点,公办,职业学校,钟山大道西段,0858-2156559 叶忠康,贵州省,六盘水市,
重庆市渝南科技学校,重庆市 合川区,全国重点,公办,职业学校,重庆市綦江县古南镇,023-48662926,重庆市,重庆市,合川区
邓州市职业中等专业学校,河南省,全国重点,公办,职业学校,河南省邓州市南阳路口,0377-2195218 2145873,河南省,,
胶南市职业中等专业学校,山东省 青岛市 胶南市,普通,公办,职业学校,胶南市灵山路59号,0532-86133210,山东省,青岛市,胶南市
广州美术学院,广东省 广州市 海珠区,普通,公办,职业学校,广州市海珠区昌岗东路257号/番禺区大学城外环西路168号,020-84411011,广东省,广州市,海珠区
安阳市电子信息学校,河南省 安阳市,全国重点,公办,职业学校,安阳市安漳路55号,0372-2271034,河南省,安阳市,
南昌建筑技工学校,江西省 南昌市 青云谱区,全国重点,公办,职业学校,江西省.南昌市南昌市青云谱区井冈山大,0791—5227114,江西省,南昌市,青云谱区
河南科技学院新科学院,河南省 新乡市,全国重点,公办,职业学校,河南省新乡市五一路(华兰大道),0373-3040670,河南省,新乡市,
武威职业学院,甘肃省 武威市,普通,公办,职业学校,甘肃省武威市西关街皇台路102号,0935-6122033,甘肃省,武威市,
湘潭机械电力学校,湖南省 湘潭市,全国重点,公办,职业学校,湘潭市河东大道18号,0732-8560984,湖南省,湘潭市,
新疆医科专修学院,新疆 乌鲁木齐市,普通,公办,职业学校,新疆乌鲁木齐市喀什东路,0991-4824762 地址：新疆乌鲁木齐市喀什东路,新疆,乌鲁木齐市,
石家庄北方汽车专修学校,河北省 石家庄市 正定县,全国重点,民办,职业学校,国际小商品东700米,18032017210,河北省,石家庄市,正定县
江西环境工程职业学院,江西省,普通,公办,职业学校,江西省章贡区湖边,0797-8535454,江西省,,
湖北省鹤峰县劳动就业技能培训学校,湖北省 恩施 鹤峰县,普通,公办,职业学校,鹤峰县劳动就业培训中心,0-13085196022,湖北省,恩施,鹤峰县
巴东县农广校,湖北省 恩施 巴东县,普通,公办,职业学校,巴东县信陵镇寇公路51号,0718-4225058,湖北省,恩施,巴东县
湖南省株洲市信息工程职业技术学校,湖南省 株洲市,全国重点,公办,职业学校,文化路88号,0733-2131391 陈春华,湖南省,株洲市,
赣州护理学校，赣州医药学校，赣州中专,江西省 赣州市 章贡区,县重点,公办,职业学校,赣州开发区迎宾华坚北26,18879732867,江西省,赣州市,章贡区
广西医科大学附属中学,广西 南宁市 青秀区,普通,公办,职业学校,南宁市双拥路22号,0771-5258581,广西,南宁市,青秀区
开封市三职专,河南省 开封市,全国重点,公办,职业学校,开封市内环南路9号,0378-5962213,河南省,开封市,
渭南铁路工程学校,陕西省 渭南市,普通,公办,职业学校,渭南市站北路东段１号,0913-2079504,陕西省,渭南市,
徐州机电工程高等职业学校,江苏省 徐州市 ,市重点,公办,职业学校,贾汪校区—徐州市贾汪区育才路1号;云龙校区—徐州市东甸子,,江苏省,徐州市,
吴中区职业高级中学,江苏省 苏州市 吴中区,普通,公办,职业学校,宝带东路365号,0512-65256564,江苏省,苏州市,吴中区
贵州省建设学校,贵州省 贵阳市 ,全国重点,公办,职业学校,贵阳市白云大道236号（阳关）,86（851）4702126,贵州省,贵阳市,
成都航空职业技术学院,四川省 成都市 锦江区,区重点,民办,职业学校,成都市二环路南一段20号,028-85225890,四川省,成都市,锦江区
湖南智博数控模具技术学校,湖南省 长沙市 岳麓区,全国重点,公办,职业学校,岳麓山中南大学743厂内,0731-8626052,湖南省,长沙市,岳麓区
四川省舞蹈学校/四川艺术职业学院,四川省 成都市 青羊区,全国重点,公办,职业学校,外西谢家祠四威南路3号,028-88198128 刘翊,四川省,成都市,青羊区
苏州工业职业技术学院,江苏省 苏州市 吴中区,全国重点,公办,职业学校,苏州市吴中区越湖路,0512-67617330,江苏省,苏州市,吴中区
湖北省纺织职工中专黄石分校,湖北省 黄石市,全国重点,公办,职业学校,黄石市老虎头老闸12号,0714-6518287 林植意,湖北省,黄石市,
兰州外语职业学院,甘肃省 兰州市,普通,公办,职业学校,甘肃省兰州市战役开辟区薇乐小道137号,0931-2185520 5273444,甘肃省,兰州市,
珠海市高级技工学校,广东省 珠海市 香洲区,普通,公办,职业学校,珠海市香洲区吉大白莲路42号,0756-3808378  3808379,广东省,珠海市,香洲区
北京第一航空工业学校,北京市 丰台区,全国重点,公办,职业学校,北京丰台南苑警备东路4号,010-68750362,北京市,北京市,丰台区
聊城服装专修学院,山东省 聊城市,全国重点,公办,职业学校,聊城市经济开发区,0635-8511046,山东省,聊城市,
郑州澍青医学高等专科学校,河南省 郑州市 二七区,普通,公办,职业学校,郑州市二七区,,河南省,郑州市,二七区
湖南有色金属职业技术学院,湖南省 长沙市 雨花区,普通,公办,职业学校,株洲市云龙示范区盘龙路88号（株洲校区）长沙市雨花区香樟路601号（长沙校区）,0731-22713079　,湖南省,长沙市,雨花区
快康中医针灸推拿理疗技能培训学校,广西 南宁市 西乡塘区,县重点,私立,职业学校,南宁市西乡塘区明秀东路187号,17776254791,广西,南宁市,西乡塘区
山东省烟台市烹饪高级技工学校,山东省 烟台市,全国重点,公办,职业学校,山东省烟台市西南河路182号,0535-6038980,山东省,烟台市,
山东省莱阳市卫生专业学校,山东省 烟台市,全国重点,公办,职业学校,莱阳市鹤山路63号,0535-7212262,山东省,烟台市,
山西经济管理干部学院,山西省 太原市,全国重点,公办,职业学校,太原市南内环西街9号,0351-6533209,山西省,太原市,
