,中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
6961,紫金中山中学,广东省 中山市,普通,公办,中学,中坝镇,7841735,广东省,中山市,
6962,郑州市宇华实验学校,河南省 郑州市 新郑市,市重点,民办,中学,炎黄大道东段（紧邻八千乡政府）,18530803382,河南省,郑州市,新郑市
6963,长沙市岳麓区博才咸嘉学校,湖南省 长沙市 岳麓区,普通,公办,中学,岳麓区咸嘉新村,0731-8850683,湖南省,长沙市,岳麓区
6964,北京市私立新亚中学,北京市 朝阳区,区重点,民办,中学,北京市朝阳区十八里店乡886号,010-67476937,北京市,北京市,朝阳区
6965,南通思德福国际学校,江苏省 南通市 崇川区,普通,民办,中学,江苏省南通市崇川区宏兴东路46号,0513-80580700,江苏省,南通市,崇川区
6966,镇江三中,江苏省 镇江市 京口区,省重点,公办,中学,镇江市西府街10号,0511-85188202,江苏省,镇江市,京口区
6967,大兴区采育中学,北京市 大兴区,普通,公办,中学,北京大兴区采育镇西一村,010-80271284,北京市,北京市,大兴区
6968,怀柔区汤河口中学,北京市 怀柔区,普通,公办,中学,北京市怀柔区汤河口镇汤河口大街3号,010-89671037,北京市,北京市,怀柔区
6969,南通崇川外国语学校,江苏省 南通市 崇川区,普通,民办,中学,江苏省南通市崇川区教育路35号,0513-69905685,江苏省,南通市,崇川区
6970,镇江一外,江苏省 镇江市,普通,民办,中学,镇江市丁卯新区石淙路1号,（0511）80865682,江苏省,镇江市,
6971,泰兴一中,江苏省 泰州市 泰兴市,省重点,公办,中学,泰州市泰兴市党校路7号,0523-87636159,江苏省,泰州市,泰兴市
6972,靖江第一高级中学,江苏省 泰州市 靖江市,普通,公办,中学,泰州市靖江市孤山镇北二环路自在城对面,0523-89165345,江苏省,泰州市,靖江市
6973,江苏东台中学,江苏省 盐城市 东台市,省重点,公办,中学,盐城市东台市东城大道1号,0515-85318300,江苏省,盐城市,东台市
6974,江苏射阳中学,江苏省 盐城市 射阳县,省重点,公办,中学,盐城市射阳县合德镇幸福大道28号,0515-82353279,江苏省,盐城市,射阳县
6975,汕头市潮南区宏福外国语学校,广东省 汕头市 潮南区,普通,私立,中学,广东省汕头市潮南区陈店镇湖西乡中心路18号,0754-5578960,广东省,汕头市,潮南区
6976,张家港外国语学校,江苏省 苏州市 张家港市,普通,民办,中学,苏州市张家港市暨阳东路256号,0512-58285703,江苏省,苏州市,张家港市
6977,江苏洪泽中学,江苏省 淮安市 洪泽县,省重点,公办,中学,江苏省淮安市洪泽区高良涧镇东十一街,0517-87265415,江苏省,淮安市,洪泽县
6978,赣州市第七中学,江西省 赣州市,普通,公办,中学,江西省赣州市南门文化广场附近,,江西省,赣州市,
6979,万安县枧头中学,江西省 吉安市 万安县,普通,公办,中学,江西省吉安市万安县枧头镇,,江西省,吉安市,万安县
6980,湖北省罗田县河铺双凤坳中学,湖北省 黄冈市 罗田县,普通,公办,中学,湖北省罗田县河铺镇双凤坳中学,0713-5723249,湖北省,黄冈市,罗田县
6981,湖州五中,浙江省 湖州市 吴兴区,普通,公办,中学,浙江省湖州市吴兴区余家漾路222号,0572-2065789,浙江省,湖州市,吴兴区
6982,金华十五中,浙江省 金华市 婺城区,普通,公办,中学,金华市婺城区东莱路1066号,,浙江省,金华市,婺城区
6983,金华五中,浙江省 金华市 婺城区,普通,公办,中学,浙江省金华市婺城区八一南街301号,,浙江省,金华市,婺城区
6984,永安市大湖初级中学,福建省 三明市 永安市,普通,公办,中学,福建省三明市永安市大湖镇石林北路23号,0598-3562866,福建省,三明市,永安市
6985,修水县四都镇中学,江西省 九江市 修水县,普通,公办,中学,江西省九江市修水县四都镇,,江西省,九江市,修水县
6986,北京中南红星足球学校,北京市 房山区,普通,公办,中学,北京市房山区琉璃河镇刘李店村东街8号,010-61393765,北京市,北京市,房山区
6987,和平县合水中学,广东省 河源市 和平县,普通,公办,中学,广东省河源市和平县电话：0762-5200506,0762-5200506,广东省,河源市,和平县
6988,保康一中,湖北省 襄阳市 保康县,市重点,公办,中学,湖北省襄阳市保康县紫薇路1号,,湖北省,襄阳市,保康县
6989,赤峰二中,内蒙古 赤峰市,普通,公办,中学,赤峰新城区玉龙大街西段,8821920 地址:赤峰新城区玉龙大街西段,内蒙古,赤峰市,
6990,衢州华茂外国语学校,浙江省 衢州市 柯城区,市重点,公办,中学,衢州市柯城区书院西路58号,0570-8019576,浙江省,衢州市,柯城区
6991,衢州市菁才中学,浙江省 衢州市 柯城区,市重点,民办,中学,衢州市柯城区九华北大道501号,,浙江省,衢州市,柯城区
6992,衢州三中,浙江省 衢州市 衢江区,市重点,公办,中学,浙江省衢州市衢江区信安大道1号,,浙江省,衢州市,衢江区
6993,衢州高级中学,浙江省 衢州市 柯城区,市重点,公办,中学,浙江省衢州市柯城区石室乡烂柯山路1号,,浙江省,衢州市,柯城区
6994,邹城市第八中学,山东省 济宁市,普通,私立,中学,邹城市宏达路266号,,山东省,济宁市,
6995,宁化县民族学校,福建省 三明市 宁化县,普通,公办,中学,福建省三明市宁化县治平畲族乡湖背角村邹屋坝29号,0598-6581122,福建省,三明市,宁化县
6996,青岛启慧双语学校,山东省 青岛市 李沧区,普通,民办,中学,山东省青岛市李沧区天水路17号,0532 8766 9866,山东省,青岛市,李沧区
6997,浙江开化中学,浙江省 衢州市 开化县,市重点,公办,中学,浙江省衢州市开化县江东南路8号,0570-6181500,浙江省,衢州市,开化县
6998,岱山中学,浙江省 舟山市 岱山县,省重点,公办,中学,岱山县育才路98号,0580-4471493,浙江省,舟山市,岱山县
6999,舟山市田家炳中学,浙江省 舟山市 定海区,省重点,公办,中学,浙江省舟山市定海区昌国路5号,,浙江省,舟山市,定海区
7000,定海一中,浙江省 舟山市 定海区,省重点,公办,中学,舟山市定海区昌国路103号,（0580）2061403,浙江省,舟山市,定海区
7001,嵊泗中学,浙江省 舟山市 嵊泗县,省重点,公办,中学,浙江省嵊泗县菜园镇东海路50号,（86-0580）5088160,浙江省,舟山市,嵊泗县
7002,天门实验高中,湖北省 湖北直辖 天门市,市重点,公办,中学,湖北省天门市陆羽大道东1号,,湖北省,湖北直辖,天门市
7003,广东怀集县诗洞镇中学,广东省 肇庆市 怀集县,普通,公办,中学,广东肇庆市怀集县诗洞镇,0758-5212237,广东省,肇庆市,怀集县
7004,四川省仪陇中学,四川省,普通,公办,中学,四川省仪陇县金城镇文化路83号,0817-7222043,四川省,,
7005,北京市房山区房山中学,北京市 房山区,普通,公办,中学,北京市房山区城关东大街13号,010-69314284,北京市,北京市,房山区
7006,凉城第二中学（凉城二中）,上海市 虹口区,普通,公办,中学,上海市虹口区凉城路589弄35号,021-65255420,上海市,上海市,虹口区
7007,阳江职业技术学院附属实验学校中学部,广东省 阳江市 阳东区,普通,公办,中学,广东省阳江市江城区东山路阳江职业技术学院附属实验学校,0662-3319283,广东省,阳江市,阳东区
7008,广东阳东广雅中学,广东省 阳江市 阳东区,普通,民办,中学,阳江市阳东区新华路龙熙山对面,,广东省,阳江市,阳东区
7009,大同十六中,山西省 大同市,普通,私立,中学,大同县周士庄原地炮旅,,山西省,大同市,
7010,吉安市第三中学,江西省 吉安市 吉州区,普通,公办,中学,江西省吉安市跃进路42号,,江西省,吉安市,吉州区
7011,神农架林区高级中学,湖北省 湖北直辖 神农架林区,省重点,公办,中学,迎宾路23号,,湖北省,湖北直辖,神农架林区
7012,北京大学南宁附属实验学校,广西 南宁市 青秀区,普通,民办,中学,南宁市青秀区白云路10号,0771-5538777,广西,南宁市,青秀区
7013,津南区双闸中学,天津市 津南区,普通,公办,中学,天津市津南区八里台镇双闸村双星东里增1号,022-88529462,天津市,天津市,津南区
7014,天津市武清区南蔡村镇北蔡村初级中学,天津市 武清区,普通,公办,中学,天津市武清区南蔡村镇苏羊坊村北,022-22251430,天津市,天津市,武清区
7015,黄州扬鹰岭中学,湖北省 黄冈市 黄州区,普通,私立,中学,湖北省黄冈市黄州区迎宾东路,,湖北省,黄冈市,黄州区
7016,河南枫叶国际学校,河南省 洛阳市,普通,民办,中学,洛阳市伊滨区枫叶路8号,0379-63080222,河南省,洛阳市,
7017,邳州市第二中学,江苏省 徐州市 邳州市,普通,私立,中学,邳州市青年西路,,江苏省,徐州市,邳州市
7018,和田中学,上海市 静安区,普通,公办,中学,上海市闸北区共和新路1873弄7号,021-56381769 56651454,上海市,上海市,静安区
7019,深圳市莲花中学南校区,广东省 深圳市 福田区,普通,公办,中学,广东省深圳市福田区莲花二村,0755-83329314 83329310,广东省,深圳市,福田区
7020,上海市真光中学（普陀区教育学院附属中学）,上海市 普陀区,普通,公办,中学,上海市普陀区金汤路269号,52762999 52762666 4008-123-123,上海市,上海市,普陀区
7021,湖口县流泗中学,江西省 九江市 湖口县,普通,公办,中学,江西省九江市湖口县省道牛湖公路之侧,,江西省,九江市,湖口县
7022,广州六中珠江学校,广东省 广州市 白云区,普通,民办,中学,广州市白云区永平街道新中街12号,020-31231083,广东省,广州市,白云区
7023,邕宁区那楼镇中心学校,广西 南宁市 邕宁区,普通,公办,中学,邕宁区那楼镇那楼街404号,0771—4345121,广西,南宁市,邕宁区
7024,山西阳泉七中,山西省 阳泉市 城　区,普通,公办,中学,山西省阳泉市朝阳街阳泉七中,0353-2191645,山西省,阳泉市,城　区
7025,上海市浦东新区高桥中学,上海市 浦东新区,区重点,公办,中学,上海市浦东区高桥镇季景北路859号,021-58671938  021-68660211,上海市,上海市,浦东新区
7026,鄂州一中,湖北省 鄂州市 鄂城区,市重点,公办,中学,鄂州市鄂城区南浦路127号,,湖北省,鄂州市,鄂城区
7027,鄂州吴都中学,湖北省 鄂州市 鄂城区,普通,公办,中学,鄂州市鄂城区寿昌大道46-20号,,湖北省,鄂州市,鄂城区
7028,北京市丰台区丰台第二中学,北京市 丰台区,普通,公办,中学,北京市丰台区东安街头条3号,010-63800782,北京市,北京市,丰台区
7029,咸宁实验外国语学校初中部,湖北省 咸宁市 咸安区,普通,公办,中学,书台街36号,0715-8106168,湖北省,咸宁市,咸安区
7030,积石山县保安族中学,甘肃省,普通,公办,中学,甘肃省临夏回族自治州积石山县,,甘肃省,,
7031,鱼城镇中心中学,山东省 济宁市,普通,私立,中学,鱼台县鱼城镇中心中学,,山东省,济宁市,
7032,寻乌三中,江西省 赣州市 寻乌县,普通,公办,中学,江西省赣州市寻乌县文峰乡小布村电话：0797-2843931,0797-2843931,江西省,赣州市,寻乌县
7033,韶关市曲江区马坝中学,广东省 韶关市 曲江区,区重点,公办,中学,马坝大道南455,（0751）6193619,广东省,韶关市,曲江区
7034,深圳罗湖桂园中学,广东省 深圳市 罗湖区,普通,公办,中学,深圳市罗湖区桂园北路232号,0755-25570498,广东省,深圳市,罗湖区
7035,景德镇五中,江西省 景德镇市,普通,公办,中学,广场南路13号,0798-8221415,江西省,景德镇市,
7036,平度市田庄镇田庄中学,山东省 青岛市 平度市,普通,公办,中学,山东省青岛市平度市永胜街3号,0532-88789669,山东省,青岛市,平度市
7037,深圳华侨（康桥）书院,广东省 深圳市 宝安区,普通,民办,中学,深圳市宝安区航城街道洲石路526号,,广东省,深圳市,宝安区
7038,高安石脑中学,江西省 宜春市 高安市,普通,公办,中学,高安市石脑镇,0795-3201169,江西省,宜春市,高安市
7039,深圳光明书院,广东省 深圳市 光明区,普通,民办,中学,广东省深圳市光明区洪湖村168号,,广东省,深圳市,光明区
7040,深圳珊蒂泉外国语学校,广东省 深圳市 龙岗区,普通,民办,中学,深圳市龙岗区龙岗街道龙新社区东升路北1号,,广东省,深圳市,龙岗区
7041,湖北省大冶铁矿子弟中学,湖北省 黄石市 大冶市,普通,公办,中学,铁山区胜利路44号,0714-5418101,湖北省,黄石市,大冶市
7042,深圳格睿特高级中学,广东省 深圳市 龙华区,普通,民办,中学,广东省深圳市龙华区观湖街道新樟路116号,0755-8256-2955,广东省,深圳市,龙华区
7043,深圳中新学校,广东省 深圳市 坪山区,普通,民办,中学,广东省深圳市坪山区马峦街道沙龙路,,广东省,深圳市,坪山区
7044,深圳枫叶国际学校,广东省 深圳市 龙岗区,普通,民办,中学,广东深圳市龙岗区宝龙街道南,,广东省,深圳市,龙岗区
7045,昌平区第二中学（昌平二中）,北京市 昌平区,区重点,公办,中学,北京市昌平区政府街5号电话：010-69711346,010-69711346,北京市,北京市,昌平区
7046,上海市嘉定区迎园中学,上海市 嘉定区,区重点,公办,中学,上海市嘉定区倪家浜路888号/墅沟路600号（西校区）,021-59987389  021-69976005,上海市,上海市,嘉定区
7047,宜丰县黄岗中学,江西省 宜春市 宜丰县,普通,公办,中学,江西省宜春市宜丰县宜铜线石花尖垦殖场水角坳,2999130,江西省,宜春市,宜丰县
7048,天津市大港区栖凤中学,天津市 大港区,普通,公办,中学,天津市大港区中塘镇栖凤北里,022-63132822,天津市,天津市,大港区
7049,马鞍山实验中学,安徽省 马鞍山市 花山区,普通,公办,中学,安徽省马鞍山市花山区矿山新村18/6栋,,安徽省,马鞍山市,花山区
7050,临朐县外国语学校,山东省 潍坊市 临朐县,区重点,民办,中学,山东省潍坊市临朐县城民主路南,0536-3159998,山东省,潍坊市,临朐县
7051,沈阳市平罗镇中心校,辽宁省 沈阳市 于洪区,普通,公办,中学,沈阳市于洪区平罗镇,024-89280102,辽宁省,沈阳市,于洪区
7052,大田鸿图中学,福建省 三明市 大田县,普通,私立,中学,福建省三明市大田县,,福建省,三明市,大田县
7053,上海新沪中学,上海市 虹口区,普通,公办,中学,上海市虹口区密云路481号（近赤峰路）,021-65537652 杨明棣,上海市,上海市,虹口区
7054,滁州五中,安徽省 滁州市 琅琊区,普通,公办,中学,丰乐北路179号,,安徽省,滁州市,琅琊区
7055,江西新钢中学,江西省 新余市 渝水区,省重点,公办,中学,新余市渝水区团结西路538号,,江西省,新余市,渝水区
7056,南京市求真中学（南京一中分校）,江苏省 南京市 下关区,普通,民办,中学,南京市和燕路东井亭100-3号,025-68150556,江苏省,南京市,下关区
7057,深圳市育龙学校,广东省 深圳市 罗湖区,普通,民办,中学,深圳市罗湖区清水河玉龙新村C区,0755-22655516,广东省,深圳市,罗湖区
7058,建瓯市房道中学,福建省 南平市 建瓯市,普通,公办,中学,福建省南平市建瓯市房道镇埂尾村,3533806,福建省,南平市,建瓯市
7059,宿州二中,安徽省 宿州市 埇桥区,省重点,公办,中学,宿州市埇桥区迎宾大道88号,,安徽省,宿州市,埇桥区
7060,泗县一中,安徽省 宿州市 泗　县,普通,公办,中学,泗城镇彩虹大道与花园路交叉口西北角,0557-7010959,安徽省,宿州市,泗　县
7061,博罗东江广雅学校,广东省 惠州市 博罗县,普通,民办,中学,广东省惠州市博罗县桔龙村沿江路附近,0752-6686666,广东省,惠州市,博罗县
7062,惠州碧桂园十里银滩学校,广东省 惠州市 惠东县,普通,民办,中学,广东省惠州市惠东县石化大道东与Y871交叉路口往西约100米,0752-8352888,广东省,惠州市,惠东县
7063,灵璧一中,安徽省 宿州市 灵璧县,普通,公办,中学,宿州市灵璧县奇石大道宏泰世纪城南,,安徽省,宿州市,灵璧县
7064,博罗中学,广东省 惠州市 博罗县,普通,公办,中学,广东省惠州市博罗县电话：0752-6209009,0752-6209009,广东省,惠州市,博罗县
7065,上海市青浦区尚美中学,上海市 青浦区,区重点,公办,中学,上海市青浦区万寿路401号,021-59204228,上海市,上海市,青浦区
7066,淄博市临淄区蜂山中学,山东省 淄博市 临淄区,普通,公办,中学,山东省淄博市临淄区蜂山二路15号,0533-7543695,山东省,淄博市,临淄区
7067,北京八一学校,北京市 海淀区,普通,公办,中学,北京市海淀区苏州街29号,,北京市,北京市,海淀区
7068,北京科技大学附属中学,北京市 海淀区,普通,公办,中学,志新路36号,010-82371799,北京市,北京市,海淀区
7069,北京北外附中,北京市 海淀区,普通,公办,中学,北京市海淀区万寿寺北里14号,010-68419376,北京市,北京市,海淀区
7070,北京一零一中双榆校区,北京市 海淀区,普通,公办,中学,北京市海淀区双榆树东里35号,,北京市,北京市,海淀区
7071,济宁市联办高中,山东省 济宁市 市中区,区重点,公办,中学,山东省济宁市市中区浣笔泉路5号,0537-2355635,山东省,济宁市,市中区
7072,枝江市七星台镇第一初级中学,湖北省 宜昌市 枝江市,普通,公办,中学,枝江市七星台镇滨江路34号,0717-4390122,湖北省,宜昌市,枝江市
7073,沧州市第十四中学,河北省 沧州市,普通,公办,中学,河北省沧州市,,河北省,沧州市,
7074,行唐县第一中学（行唐一中）,河北省 石家庄市 行唐县,县重点,公办,中学,河北省石家庄市行唐县龙州镇永昌南路108号电话：0311-82980866,0311-82980866,河北省,石家庄市,行唐县
7075,永年县第三中学,河北省 邯郸市,普通,私立,中学,邯郸市永年县大北汪,0310-6761120,河北省,邯郸市,
7076,怀集县岗坪镇东中学,广东省 肇庆市 怀集县,普通,公办,中学,广东省肇庆市怀集县岗坪镇的东面电话：0758-5313513,0758-5313513,广东省,肇庆市,怀集县
7077,衡阳市第十七中,湖南省 衡阳市 珠晖区,普通,公办,中学,湖南省衡阳市珠晖区湘江东路108号,0734-8332253,湖南省,衡阳市,珠晖区
7078,北京市潭柘寺中学,北京市 门头沟区,普通,公办,中学,北京市门头沟区潭柘寺镇南辛房村北街119号,010-60862395,北京市,北京市,门头沟区
7079,郑州市惠民中学,河南省 郑州市 金水区,区重点,民办,中学,河南省郑州市金水区郑汴路 128 号,0371-65711474,河南省,郑州市,金水区
7080,安徽合肥市第三十四中学,安徽省 合肥市,普通,公办,中学,长江西路522号,0551-5582981,安徽省,合肥市,
7081,重庆市进盛实验中学,重庆市 万盛区,普通,公办,中学,重庆市万盛经济技术开发区东林和平二村60号,023-48268714,重庆市,重庆市,万盛区
7082,乌鲁木齐众志公学,新疆 乌鲁木齐市,普通,民办,中学,乌鲁木齐市迎宾路289号,0991-3742455  13009615619,新疆,乌鲁木齐市,
7083,东乡县王桥中学,江西省 抚州市 东乡县,普通,私立,中学,江西省抚州市东乡县,0794-4477019,江西省,抚州市,东乡县
7084,沈阳市第一八三中学,辽宁省 沈阳市 苏家屯区,区重点,公办,中学,辽宁省沈阳市苏家屯区红菱镇红柳路17号,024-62547269,辽宁省,沈阳市,苏家屯区
7085,兴安县兴安中学,广西 桂林市,普通,公办,中学,桂林市北部兴安县城内城台岭上,0773--6222601,广西,桂林市,
7086,佛山顺德区汇贤中学,广东省 佛山市 顺德区,普通,私立,中学,广东省佛山市顺德区伦教,,广东省,佛山市,顺德区
7087,淄博市淄川区第二中学（淄川二中）,山东省 淄博市 淄川区,区重点,公办,中学,山东省淄博市淄川区东路45号,0533-5288515,山东省,淄博市,淄川区
7088,南洋模范初级中学,上海市 徐汇区,普通,公办,中学,上海市徐汇区淮海中路1788号,021-64377919 64715825,上海市,上海市,徐汇区
7089,青岛经济技术开发区第六中学,山东省 青岛市 经济技术开发区,区重点,公办,中学,青岛经济技术开发区香江路713号,0532-86726596,山东省,青岛市,经济技术开发区
7090,合肥市第六十三中学,安徽省 合肥市 瑶海区,普通,公办,中学,新站区瑶海路生态公园西,0551-4287651,安徽省,合肥市,瑶海区
7091,龙口市第二中学（龙口二中）,山东省 烟台市 龙口市,市重点,公办,中学,山东省烟台市龙口市石良镇驻地,0535-8751106,山东省,烟台市,龙口市
7092,北京市门头沟区军庄中学,北京市 门头沟区,普通,公办,中学,北京市门头沟区军庄镇军庄中学,010-60811869,北京市,北京市,门头沟区
7093,深圳市宝安沙井中学,广东省 深圳市 宝安区,普通,公办,中学,广东省深圳市宝安区沙井街道东岳路1号,,广东省,深圳市,宝安区
7094,清华附中丰台学校,北京市 丰台区,普通,公办,中学,北京市丰台区西客站南路19号,,北京市,北京市,丰台区
7095,丰宁县第一中学（丰宁一中）,河北省 承德市,普通,公办,中学,河北省承德市丰宁满族自治县振丰路213号,0314-8012515,河北省,承德市,
7096,乐清北白象镇万家中学,浙江省 温州市 乐清市,普通,私立,中学,温州乐清北白象镇万家中学,,浙江省,温州市,乐清市
7097,上海绿川学校,上海市,普通,公办,中学,北蔡镇绿林路409号,021-50610613,上海市,,
7098,南宁市第二十四中学,广西 南宁市,区重点,公办,中学,广西南宁市秀安路8号,0771-3134383、3113960,广西,南宁市,
7099,南宁北大附中,广西 南宁市 青秀区,普通,民办,中学,南宁市青秀区白云路10号,0771-5538777,广西,南宁市,青秀区
7100,北京市华夏女子中学,北京市 西城区,普通,公办,中学,北京市西城区广安门外红莲中里12号,010-63261635,北京市,北京市,西城区
7101,武汉市吴家山第二中学（吴家山二中）,湖北省 武汉市 东西湖区,区重点,公办,中学,武汉市东西湖区吴家山街吴兴北村15号,027-83251822,湖北省,武汉市,东西湖区
7102,鸡泽县第一中学（鸡泽一中）,河北省 邯郸市 鸡泽县,县重点,公办,中学,河北省邯郸市鸡泽县文化路5号,0310-7511600,河北省,邯郸市,鸡泽县
7103,大同北师大附中,山西省 大同市 平城区,普通,公办,中学,山西省大同市平城区西京街,,山西省,大同市,平城区
7104,新建县大塘中学,江西省 南昌市 新建区,普通,民办,中学,新建县大塘村,0791-3980099,江西省,南昌市,新建区
7105,民办交大南洋中学,上海市 金山区,普通,公办,中学,上海市金山区松隐镇亭枫公路1915号,021-57381777,上海市,上海市,金山区
7106,荣成市第三十三中学,山东省 威海市 荣成市,普通,私立,中学,威海上庄镇驻地,,山东省,威海市,荣成市
7107,江西省临川十中,江西省 抚州市 临川区,区重点,公办,中学,临川温泉镇（临川十中）,0794-8499098,江西省,抚州市,临川区
7108,贵阳市第三实验中学,贵州省 贵阳市 ,普通,公办,中学,贵阳市富水南路中山大厦B座,0851-8645477,贵州省,贵阳市,
7109,上海七宝第二中学（七宝二中）,上海市 闵行区,普通,公办,中学,闵行区七宝镇民主路26号,021-64190664,上海市,上海市,闵行区
7110,平泉县惠民中学,河北省 承德市 平泉县,普通,私立,中学,河北省承德市平泉县平泉镇西三家村,03142296192,河北省,承德市,平泉县
7111,武汉市南湖中学,湖北省 武汉市 武昌区,普通,公办,中学,武汉市武昌区南湖花园平安路888号,027-88778877,湖北省,武汉市,武昌区
7112,利辛一中,安徽省 亳州市 利辛县,省重点,公办,中学,安徽省亳州市利辛县城关镇马桥世纪大道第一中学,,安徽省,亳州市,利辛县
7113,北京市和平北路学校,北京市 东城区,普通,公办,中学,和平里中街18号（地坛体育中心院内）,010-64265449,北京市,北京市,东城区
7114,韶关市翁源县新江中学,广东省 韶关市 翁源县,县重点,公办,中学,韶关市翁源县尚同中学,0751-2612372,广东省,韶关市,翁源县
7115,上海市漕泾中学,上海市 金山区,普通,公办,中学,漕泾镇中一西路38号,021-57251336,上海市,上海市,金山区
7116,山东省莱芜市第十七中学,山东省 莱芜市,普通,公办,中学,鲁中西大街13号,0634-6213232,山东省,莱芜市,
7117,潍坊一中未来实验校区,山东省 潍坊市 高新区,普通,公办,中学,"渤海路以东, 北宫街以南",,山东省,潍坊市,高新区
7118,河南师范大学附中,河南省 新乡市,普通,公办,中学,河南省新乡市建设路164号,0373-3383049,河南省,新乡市,
7119,无棣县鲁北高新区实验学校,山东省 滨州市 无棣县,县重点,公办,中学,埕口镇驻地,010-12345678,山东省,滨州市,无棣县
7120,上海市金汇高级中学,上海市 闵行区,普通,公办,中学,闵行区紫藤路125弄58号,021-64013471,上海市,上海市,闵行区
7121,徐州金榜国际学校,江苏省 徐州市 铜山县,普通,民办,中学,江苏省徐州市铜山区拾屯街道杨场村环村路南,,江苏省,徐州市,铜山县
7122,徐州华顿国际学校,江苏省 徐州市 云龙区,普通,民办,中学,徐州市云龙区清风路16号,0516-66999916,江苏省,徐州市,云龙区
7123,天津市南开外国语高级中学,天津市 南开区,区重点,民办,中学,天津市南开区旧津保路2号,（022）27365687,天津市,天津市,南开区
7124,常州河海实验学校,江苏省 常州市 新北区,普通,民办,中学,常州市新北区百川路8号,0519-85165862,江苏省,常州市,新北区
7125,番禺诺德安达学校,广东省 广州市 番禺区,普通,民办,中学,广州市番禺区南村镇西和路88号,020-32656500,广东省,广州市,番禺区
7126,恩施来凤一中,湖北省 恩施 来凤县,省重点,公办,中学,湖北省恩施土家族苗族自治州来凤县,,湖北省,恩施,来凤县
7127,建始一中,湖北省 恩施 建始县,省重点,公办,中学,湖北省恩施土家族苗族自治州建始县团结路1号,0718-3223017,湖北省,恩施,建始县
7128,番禺剑桥郡加拿达外国语学校,广东省 广州市 番禺区,普通,民办,中学,广东省广州市番禺区南村镇板桥博厚路,020-34691237,广东省,广州市,番禺区
7129,东莞市经济贸易学校,广东省 东莞市,普通,私立,中学,广东省东莞市学院路287号,0769-22682029,广东省,东莞市,
7130,北京市第一零五中学,北京市 海淀区,普通,公办,中学,北京市海淀区高粱桥斜街3号,010-62181395,北京市,北京市,海淀区
7131,番禺区华南碧桂园学校初中部,广东省 广州市 番禺区,普通,民办,中学,番禺区兴业大道翠宏台小区旁,020-34769921,广东省,广州市,番禺区
7132,大田县奇韬初级中学,福建省 三明市 大田县,普通,公办,中学,福建省三明市大田县奇韬镇奇韬村,0598-7438122,福建省,三明市,大田县
7133,西安市财政会计学校,陕西省 西安市 莲湖区,普通,公办,中学,西安市金花南路11号,029 83239048,陕西省,西安市,莲湖区
7134,荣成市第三十八中学,山东省 威海市 荣成市,普通,公办,中学,荣成市港西镇,,山东省,威海市,荣成市
7135,北京市第九十七中学,北京市 朝阳区,普通,公办,中学,北京市朝阳区黄杉木店206号,010-85520797,北京市,北京市,朝阳区
7136,无锡市仓下中学,江苏省 无锡市 锡山区,普通,公办,中学,江苏省无锡市东亭镇长大厦东店1号,0510-88318194,江苏省,无锡市,锡山区
7137,增城区大鹏中学,广东省 广州市 增城区,普通,公办,中学,广东省广州市增城市荔城镇大鹏区城北路30号,020-82746692,广东省,广州市,增城区
7138,山东省日照铁路实验学校,山东省 日照市,普通,公办,中学,日照市黄海二路东首,0633-8334210,山东省,日照市,
7139,武进洛阳中学,江苏省 常州市,普通,私立,中学,江苏省常州市洛阳镇,,江苏省,常州市,
7140,武平岩前中学,福建省 龙岩市 武平县,普通,公办,中学,福建省龙岩市武平县岩前镇,,福建省,龙岩市,武平县
7141,上海市干巷学校（中学部）,上海市 金山区,普通,公办,中学,上海市金山区干巷镇新溪街35号,021-57201085　57205995,上海市,上海市,金山区
7142,成都市第十四中学,四川省 成都市 青羊区,普通,公办,中学,人民公园西大门对面的蜀华街43号,86135762 86155191,四川省,成都市,青羊区
7143,顺义区沿河中学,北京市 顺义区,普通,公办,中学,北京市顺义区平沿路北河段北河村南电话：010-69480315,010-69480315/69485967,北京市,北京市,顺义区
7144,广州花都区耀华学校,广东省 广州市 花都区,普通,民办,中学,广东省广州市花都区花东镇山前旅游大道,,广东省,广州市,花都区
7145,无锡华锐海归人才子女学校,江苏省 无锡市 新吴区,普通,民办,中学,无锡市新吴区锡兴北路105号,,江苏省,无锡市,新吴区
7146,浙江庆元中学,浙江省 丽水市 庆元县,省重点,公办,中学,丽水市庆元县蒙洲街218号,0578-6221007,浙江省,丽水市,庆元县
7147,成都高新顺江学校,四川省 成都市 高新区,普通,公办,中学,成都高新西区顺源北巷38号,028-87817000,四川省,成都市,高新区
7148,克拉玛依一中,新疆 克拉玛依市,普通,公办,中学,红星路与天山路交叉处向东80米路北,,新疆,克拉玛依市,
7149,威海第五中学,山东省 威海市 环翠区,区重点,公办,中学,山东省威海市环翠区温泉镇河西村,0631-5361134,山东省,威海市,环翠区
7150,上海市静安区塘沽学校,上海市 静安区,普通,公办,中学,上海市闸北区海宁路830号,021-63571237,上海市,上海市,静安区
7151,南海区平洲二中,广东省 佛山市 南海区,普通,公办,中学,佛山市南海区桂城街道平洲大德路15号,13536699106,广东省,佛山市,南海区
7152,万载县高城初级中学,江西省 宜春市 万载县,普通,公办,中学,万载县高城乡万载峰山脚下,0795-8382030,江西省,宜春市,万载县
