,地址,电话,网址,城市
古县职业中学,临汾古县岳阳路附近,,,临汾
浮山县职业中学,山西省临汾市浮山县西环北街,,,临汾
乡宁中学,山西省临汾市乡宁县南环街,,,临汾
临汾太林中学,山西省临汾市蒲县罗克线,,,临汾
临汾郭行中学,山西省临汾市郭行,,,临汾
僧念中学,山西省临汾市汾西县224省道,,,临汾
临汾关王庙中学,山西省临汾市关王庙,,,临汾
临汾太钢集团临钢子弟中学,山西省临汾市尧都区文体街,,,临汾
克城中学,山西省临汾市蒲县罗克线,,,临汾
临汾星杰中学,山西省临汾市郑庄村,,,临汾
临汾龙马中学,山西省临汾市洪洞县公景线,,,临汾
隰县黄土中学,山西省临汾市隰县328省道,,,临汾
临汾城关中学,山西省临汾市浮山县尧山路(042600),,,临汾
临汾库拔中学,,,,临汾
临汾古城中学,山西省临汾市襄汾县临夏线,,,临汾
南贾中学,,,,临汾
隰县职业中学,山西省临汾市隰县南大街199号,,,临汾
临汾爱心中学,山西省临汾市襄汾县襄汾新建路二中,,,临汾
乡宁县职业中学,山西省临汾市乡宁县迎旭大街,,,临汾
曲沃县里村中学,山西省临汾市曲沃县108国道,,,临汾
临汾新华中学,尧都区平阳街027院内,0357-2211088,,临汾
古阳中学,山西省临汾市古阳,,,临汾
尧都区贺家庄乡中学,山西省临汾市尧都区528县道,,,临汾
台头中学,山西省临汾市乡宁县台头镇,,,临汾
临汾兴华中学,山西省临汾市曲沃县浍滨南路,,,临汾
临汾古罗中学,山西省临汾市洪洞县309国道,,,临汾
临汾邓庄中学,山西省临汾市襄汾县543县道,,,临汾
临汾华星中学,山西省临汾市翼城县331省道,,,临汾
临汾东张中学,山西省临汾市浮山县230省道,,,临汾
临汾师村中学,山西省临汾市洪洞县师旷街,,,临汾
临汾老官庄中学,山西省临汾市老官庄,,,临汾
左木乡中学,山西省临汾市河西沟梨凹村,,,临汾
天坛中学,山西省临汾市浮山县尧山西路179号,,,临汾
临汾井上中学,山西省临汾市蒲县罗克线,,,临汾
临汾搏击中学,山西省临汾市尧都区108国道,,,临汾
侯马高村乡中学,高村乡126号,,,临汾
临汾西贾中学,山西省临汾市襄汾县g5京昆高速,,,临汾
临汾出张中学,山西省临汾市尧都区230省道,,,临汾
临汾伯玉中学,山西省临汾市新城镇伯玉村,,,临汾
临汾枣岭中学,山西省临汾市乡宁县570县道,,,临汾
临汾南王中学,山西省临汾市洪洞县108国道,,,临汾
临汾辛村乡白石中学,山西省临汾市洪洞县洪洞公路,,,临汾
临汾襄辉中学,山西省临汾市襄汾县新建北路,,,临汾
南唐乡中学,山西省临汾市翼城县331省道,,,临汾
临汾北王中学,山西省临汾市浮山县540县道,,,临汾
临汾槐埝中学,山西省临汾市浮山县528县道,,,临汾
翼城县唐兴中学,山西省临汾市西大街,,,临汾
临汾晋洪中学,山西省临汾市洪洞县108国道,,,临汾
临汾南沟中学,山西省临汾市洪洞县桃临线,,,临汾
临汾联办中学,山西省临汾市曲沃县108国道,,,临汾
薛关中学,山西省临汾市蒲县古午线,,,临汾
临汾瓦窑头中学,山西省临汾市洪洞县108国道,,,临汾
临汾大邓中学,山西省临汾市襄汾县大邓村,,,临汾
蒲县职业中学,山西省临汾市蒲县广场路,,,临汾
临汾奥林匹克中学,山西省临汾市解放东路山西师大体院培训楼,,,临汾
临汾西张中学,山西省临汾市西张村,,,临汾
临汾佃坪中学,山西省临汾市蒲县328省道,,,临汾
临汾下裴中学,山西省临汾市曲沃县234省道,,,临汾
临汾安汾中学,山西省临汾市安汾,,,临汾
赵康镇中学,山西省临汾市襄汾县542县道,,,临汾
临汾阳头升中学,山西省临汾市隰县580县道,,,临汾
临汾石必中学,山西省临汾市古县001乡道,,,临汾
临汾马牧中学,山西省临汾市洪洞县桃临线,,,临汾
临汾山焦中学,山西省临汾市洪洞县544县道,0357-6625482,,临汾
临汾侯村中学,山西省临汾市赵城,,,临汾
临汾陶寺中学,山西省临汾市襄汾县527县道,,,临汾
曲沃县高显镇中学,山西省曲沃县高显镇高显村,,,临汾
临汾教联中学,山西省临汾市洪家楼北街工商学校办公楼一层,,,临汾
临汾西交口中学,山西省临汾市乡宁县西交口乡,,,临汾
临汾广胜中学,山西省临汾市洪洞县544县道,,,临汾
临汾古城兴华中学,山西省临汾市襄汾古城,,,临汾
临汾龙祠乡中学,山西省临汾市龙祠,,,临汾
隰县午城中学,山西省临汾市隰县329省道,,,临汾
陶唐峪乡中学,,,,临汾
临汾公峪中学,,,,临汾
曲亭村中学,山西省临汾市洪洞县曲亭曲亭村,,,临汾
临汾浪泉中学,,,,临汾
临汾下李中学,,,,临汾
临汾星光中学,,,,临汾
临汾冯张中学,,,,临汾
浮山县响水河中学,,,,临汾
临汾向明中学,县城四清桥西迎宾路南侧,0357-6251975,,临汾
临汾交口中学,,,,临汾
史村中学,,,,临汾
临汾杨曲中学,,,,临汾
临汾阁底中学,,,,临汾
临汾上庄中学,山西省临汾市襄汾上庄村中学,,,临汾
临汾张庄中学,山西省临汾市浮山县230省道,,,临汾
临汾晋峰中学,山西省临汾市古县323省道,,,临汾
临汾同盛中学,山西省临汾市尧都区益民东路,,,临汾
临汾马头中学,山西省临汾市洪洞县544县道,,,临汾
临汾华杰中学,山西省临汾市蒲县329省道,,,临汾
临汾南庄中学,临汾永和县,,,临汾
临汾歇马滩中学,山西省临汾市霍州市555县道,,,临汾
临汾谭坪中学,山西省临汾市乡宁县谭坪乡,,,临汾
土门中学,山西省临汾市尧都区临大线,,,临汾
临汾崖下中学,山西省临汾市乡宁县岩下乡,,,临汾
临汾张马中学,山西省临汾市乡宁县张马乡,,,临汾
临汾张村乡中学,山西省临汾市侯马市张村乡,,,临汾
临汾圣王中学,山西省临汾市洪洞县g5京昆高速,,,临汾
临汾旧县中学,山西省临汾市古县309国道,,,临汾
临汾文城中学,山西省临汾市吉县管南线,,,临汾
临汾兴国实验中学,山西省临汾市翼城县八一南路,,,临汾
蒲县实验中学,山西省临汾市蒲县一中路3号,,,临汾
临汾职业高级中学,山西省临汾市古县教育街,,,临汾
临汾地区武术职业中学,山西省临汾市鼓楼北街,,,临汾
临汾太钢集团钢铁有限公司中学,山西省临汾市临钢路,,,临汾
寨子乡中学,山西省临汾市隰县328省道,,,临汾
侯马凤城乡中学,山西省临汾市侯马市北环路,,,临汾
临汾鸿桥中学,山西省临汾市蒲县旅游线,,,临汾
临汾南石明中学,山西省临汾市洪洞县108国道,,,临汾
吴村中学,山西省临汾市尧都区桃临线,,,临汾
临汾西常中学,山西省临汾市曲沃县537县道,,,临汾
临汾尉庄乡吉家原中学,山西省临汾市乡宁县233省道,,,临汾
冀氏中学,山西省临汾市安泽县长安线,,,临汾
临汾张再金星中学,山西省临汾市襄汾县527县道,,,临汾
洪洞县刘家垣中学,山西省临汾市洪洞县546县道,,,临汾
临汾大阳中学,山西省临汾市尧都区230省道,,,临汾
临汾桑峨中学,山西省临汾市吉县309国道,,,临汾
汾西县对竹中学,山西省临汾市汾西县585县道,,,临汾
北平中学,临汾古县,,,临汾
临汾三维华邦集团有限公司中学,山西省临汾市洪洞县549县道,,,临汾
临汾三多中学,山西省临汾市大宁县209国道,,,临汾
中卫乡中学,山西省临汾市中卫村,,,临汾
管头中学,山西省临汾市乡宁县台乡线,,,临汾
侯马晋源中学,晋都路,,,临汾
临汾北捍乡中学,山西省临汾市北捍,,,临汾
里砦中学,山西省临汾市翼城县331省道,,,临汾
临汾浪泉乡中学,山西省临汾市浪泉,,,临汾
临汾兴吉中学,山西省临汾市吉县新华东街46号,,,临汾
临汾先成中学,山西省临汾市翼翔东大街,,,临汾
临汾曹家庄中学,山西省临汾市襄汾曹家庄,,,临汾
乐昌中学,山西省临汾市曲沃县府东街,,,临汾
临汾山中中学,山西省临汾市蒲县古午线,,,临汾
临汾地区体育中学,山西省临汾市平阳北街,,,临汾
临汾杜村乡杜村中学,山西省临汾市安泽县长安线,,,临汾
临汾张村中学,,,,临汾
临汾辛南中学,山西省临汾市洪洞县洪乔线,,,临汾
中垛乡中学,山西省临汾市吉县,,,临汾
临汾登临中学,山西省临汾市洪洞县546县道,,,临汾
临汾景毛中学,山西省临汾市襄汾县g5京昆高速,,,临汾
临汾魏村中学,山西省临汾市魏村,,,临汾
临汾化乐中学,山西省临汾市化乐,,,临汾
苏堡中学,山西省临汾市洪洞县323省道,,,临汾
临汾永固中学,山西省临汾市襄汾县河晋高速,,,临汾
临汾滨河中学,山西省临汾市尧都区中大街,,,临汾
管头乡中学,山西省临汾市管头,,,临汾
永和县职业中学,山西省临汾市永隰公路,,,临汾
永和县桑壁中学,山西省临汾市桑壁上索壁村,,,临汾
临汾李堡中学,山西省临汾市洪洞县宝峰东路,,,临汾
临汾一中玉峰中学,山西省临汾市玉峰路棉站院内,,,临汾
汾西县职业中学,,,,临汾
新城中学,襄汾县迎宾路附近,,,临汾
洪洞职业中学,,,,临汾
临汾十二中学,山西省临汾市襄汾县108国道,,,临汾
安泽县职业中学,,,,临汾
临汾兴国实验学校,尧都区育红路12号,0357-3016989,,临汾
临汾师范大学第二实验中学,尧都区秦蜀路西赵巷1号,0357-2886395,,临汾
临汾实验高级中学,襄汾县文卫路,0357-3622194,,临汾
临汾西京外国语学校,侯马市复兴村,03573905962,,临汾
临汾第十一中学,尧都区临浮路178号,0357-3075003,,临汾
洪洞第四中学,山西省洪洞县万安镇万安村中大街,03576637001,,临汾
霍州华光育才学校,山西省霍州市赵家庄村,0357-5600409,,临汾
临汾襄辉高级中学,襄汾县城文卫街,0357-3622333,,临汾
临汾山锻中学,山西锻造厂,0357-4928761,,临汾
汾西第三中学,汾西县城西阳光大道北,6102141,,临汾
临汾新迎春学校,尧都区迎春南街49号,2283932,,临汾
临汾杏园中学,襄汾县邓庄镇,5503188,,临汾
临汾阳光学校,临汾市鼓楼南大街45号,0357-2020809,,临汾
临汾解放路中学,尧都区解放路三中巷1号,0357-2110782,,临汾
临汾新立学校,临汾市贡院东街乌鸦巷南路,0357-2288189,,临汾
临汾新英学校,洪洞县城南环东路,0357-6297088,,临汾
临汾华隆学校,临汾市尧都路1号,0357-2318680,,临汾
临汾古城镇兴华中学,古城镇兴华中学,0357-3678439,,临汾
临汾玉峰中学,洪洞县玉峰路,03576225871,,临汾
临汾仁文学校,山西省洪洞县广胜寺镇圪垌村,03576624302,,临汾
临汾华杰学校,山西省临汾市洪洞县大槐树镇内南环西路,0357-6630999,,临汾
临汾万杰学校,乡宁县反帝村,0357-6831505,,临汾
临汾双语学校,汾西县城阳光小区,0357-6101013,,临汾
侯马五0二学校,侯马市电缆厂,03574162776,,临汾
临汾洪桥涉外中学,洪洞县辛村乡薛家庄村,0357-6251895,,临汾
临汾晋锋中学,山西省临汾市古县岳阳镇五马村,13603577957,,临汾
侯马一公司中学,侯马市建工路,03574093493,,临汾
汾城中学,汾城镇汾城车站东,0357-3666165,,临汾
临汾翔宇中学,平阳北街027院内,0357-2218017,,临汾
临汾赵曲中学,襄汾县新城镇赵曲村东,0357-3631056,,临汾
临汾贡院中学,曲沃县城内南环路,03575512814,,临汾
源汇区逸夫中学,漯河自由贸易区西京路1号,,,漯河
漯河源汇区实验中学,河南省漯河市郾城区泰山路106号-162号,,,漯河
漯河第二高级中学,人民东路131,,,漯河
漯河郾城高级中学,郾城区商桥镇火车站路1号,0395--6822683,,漯河
漯河源汇区实验高级中学,河南省漯河市源汇区012县道,,,漯河
临颍县实验中学,新城路,,,漯河
漯河第二中学,,,,漯河
漯河育才学校,泰山路90,,,漯河
郾城县新店高级中学,,,,漯河
漯河实高,,,,漯河
郾城区城关镇中学,,,,漯河
漯河外语中学,,,,漯河
漯河郾城区实验中学分校,,,,漯河
舞阳县实验中学,河南省漯河市舞阳县张家港路,,,漯河
郾城实验中学,海河路,,,漯河
源汇实验中学,,,,漯河
北京大学附属中学河南分校,,,,漯河
舞阳第二高级中学,,,,漯河
漯河中学北校区,,,,漯河
临颍县中学,,,,漯河
漯河灵宝实验中学,公园路,,,漯河
漯河陕县第一高级中学,建设路中段,,,漯河
郾城区第二高级中学,漯河郾城区海河路附近,,,漯河
临颍县职业高级中学,漯河六峰路中段,,,漯河
漯河义马高级中学,人民路,,,漯河
漯河渑池县高级中学,漯河仰韶西街177号,,,漯河
漯河南街村中学,育才路,,,漯河
漯河艺术中学,河南省漯河市舞阳县北街路,,,漯河
漯河卢氏县范里乡里甫中学,漯河范里乡里甫村,,,漯河
漯河体育中学,漯河舞泉镇北环路中段30号,,,漯河
漯河义马常村乡中学,漯河毛沟南。,,,漯河
漯河灵宝北田中学,城关镇北田村,,,漯河
漯河问十乡中学,,,,漯河
漯河铁西中学,河南省漯河市临颍县001县道,,,漯河
漯河中学,漯河淞江新区,,,漯河
舞阳县舞泉镇中学,河南省漯河市舞阳县北街路,,,漯河
漯河许慎中学,河南省漯河市召陵区雪城大街,,,漯河
商桥中学,,,,漯河
临颍县第一高级中学,临颍县城内会馆街,0395-8853567,,漯河
漯河第三中学,源汇区交通路118号,0395-2182380,,漯河
郾城区新店中学,郾城区新店镇新店村西街,0395--6722952,,漯河
漯河第十中学,河南漯河市人民东路45号,03952352775,,漯河
舞阳县第二实验中学,,,,漯河
临颍县第二高级中学,临颍县城关镇东街,0395-8861764,,漯河
漯河南街中学,,,,漯河
漯河青年中学,,,,漯河
漯河第十一中学,漯河市金山路南段,03952368654,,漯河
郾城第二实验中学,,,,漯河
郾城第一实验中学,,,,漯河
漯河第一高级中学,,,,漯河
漯河第四高级中学,漯河市郾城区海河路西段,,,漯河
漯河第八初级中学,,,,漯河
临颍县北街学校,,,,漯河
临颍县第二实验中学,,,,漯河
舞阳县第一高级中学,漯河市舞阳县城人民西路,0395-7121894　,http://www.wyyg.net.cn,漯河
临颍县第三高级中学,,,,漯河
临颍县南街高级中学,临颍县南街村,0395-8853371,,漯河
北大附中河南分校漯河校区,,,,漯河
漯河源汇区大刘镇初级中学,,,,漯河
临颍县三家店第一中学,,,,漯河
漯河王岗第一中学,,,,漯河
郾城第二中学,,,,漯河
漯河示范性普通中学,,,,漯河
漯河第九中学,,,,漯河
莲花镇第二中学,,,,漯河
北舞渡第一中学,,,,漯河
郾城中学,,,,漯河
郾城第一高级中学,,,,漯河
召陵区青年第一中学,,,,漯河
漯河第四中学,,,,漯河
漯河第五中学,漯河市交通路663号院,,,漯河
漯河铁路中学,,,,漯河
漯河第十五中学,漯河市龙江路14号,0395-2939615,,漯河
漯河第八中学,,,,漯河
漯河苏豫中学,,,,漯河
源汇区博爱学校,,,,漯河
漯河培智学校,,,,漯河
郑州郾城区第二高级中学,,,,漯河
郑州郾城县新店高级中学,,,,漯河
漯河灵宝实验高级中学,漯河长安西路303号,,,漯河
舞阳县实验高级中学,河南省漯河市舞阳县张家港路西段,0395-7121491,,漯河
漯河陕县第一职业中学,秦汉路中段,,,漯河
漯河国营第一二四总厂中学,漯河小河滩,,,漯河
漯河第二职业中学,漯河市黄河路东段郭庄北,,,漯河
漯河第三高级中学,解放路,(0395)2366602,,漯河
漯河灵宝第三高级中学,漯河尹庄镇尹庄村,,,漯河
舞阳县第三高级中学,上海路中段108号院,0395-7123297,,漯河
漯河灵宝第五高级中学,漯河阳店镇下磑村,,,漯河
漯河义马煤业(集团)有限责任公司高级中学,朝阳路,,,漯河
漯河灵宝第四高级中学,新灵街1号,,,漯河
舞阳县第三中学,漯河舞阳县上海路北段,,,漯河
漯河陕县职业中学,漯河上阳路南,,,漯河
漯河三门峡西铁路职工子弟中学,漯河原店镇秦汉路西段,,,漯河
小北河中学,辽宁省辽阳市辽阳县佟高线,,,辽阳
辽阳综合高级中学,文圣路224,,,辽阳
辽阳宗舜中学,辽宁省辽阳市辽阳县辽凤线,,,辽阳
辽阳医药职业高级中学,辽宁省辽阳市白塔区青年街38号,,,辽阳
辽阳卫生职业高级中学,辽宁省辽阳市文圣区北哨街三十号,,,辽阳
辽阳体育中学,辽阳新兴街81号,,,辽阳
辽阳水泉中学,辽宁省辽阳市辽阳县连鞍线,,,辽阳
辽阳三新中学,辽阳市县首山镇新兴街8号,,,辽阳
辽阳辽化第二高级中学,健康路40号,,,辽阳
辽阳高级中学,辽宁省辽阳市梁园路,,,辽阳
辽阳第一中学,辽宁省辽阳市辽阳县文化路21号,,,辽阳
辽阳第十二高级中学,辽宁省辽阳市富虹大街77号,,,辽阳
辽阳第二中学,辽阳市文圣路刚家胡同28号,,,辽阳
辽阳第十六中学,辽阳解放路1号,,,辽阳
灯塔西大窑镇中学,辽宁省辽阳市灯塔市罗华线,,,辽阳
灯塔第一高级中学,,,,辽阳
辽阳辽阳县第二高级中学,辽阳市辽阳县刘二堡镇,0419-7168973,,辽阳
辽阳第四中学,辽阳市太子河区太子河市区,0419-4124733,,辽阳
辽阳第四高级中学,,,,辽阳
刘二堡中学,辽宁省辽阳市辽阳县林家街,,,辽阳
辽阳第一高级中学,辽阳市辽阳县首山镇,0419-7172597,,辽阳
辽阳第二十一高级中学,,,,辽阳
辽阳石油化纤公司第二高级中学,,,,辽阳
辽阳第二十高级中学,,,,辽阳
辽阳第三高级中学,辽阳市辽阳县首山镇人民街92号,0419-7579268,,辽阳
辽阳第五高级中学,,,,辽阳
辽阳第十七高级中学,,,,辽阳
辽阳第十八高级中学,,,,辽阳
辽阳第八高级中学,,,,辽阳
辽阳第十五高级中学,,,,辽阳
辽阳第十四高级中学,,,,辽阳
辽阳第十高级中学,,,,辽阳
辽阳第七高级中学,,,,辽阳
辽阳第六高级中学,,,,辽阳
辽阳第九高级中学,,,,辽阳
辽阳金华职业中学,,,,辽阳
辽阳中学,,,,辽阳
辽阳朝鲜族中学,,,,辽阳
辽阳新城中学,,,,辽阳
灯塔第二高级中学,,,,辽阳
辽阳龙门高级中学,青年大街,,,辽阳
辽阳特教高级中学,辽宁省辽阳市白塔区,,,辽阳
辽阳辽化高级中学,,,,辽阳
辽阳总工会职业高级中学,辽宁省辽阳市白塔区中心大街78号,,,辽阳
辽阳工业纸板厂职业高级中学,辽阳建设街21号,,,辽阳
灯塔第三中学,辽宁省辽阳市灯塔市辽官线,,,辽阳
辽阳县第三中学,,,,辽阳
灯塔柳条寨镇中学,辽宁省辽阳市灯塔市沈半线,,,辽阳
灯塔王家镇中学,辽阳灯塔市王家缜王家村,,,辽阳
灯塔张台子镇中学,辽阳张台子镇,,,辽阳
柳河子镇中学,灯塔市柳河子镇上柳河子村,,,辽阳
灯塔西大堡中学,辽阳灯塔市柳条寨镇西大堡村,,,辽阳
辽阳职业中学,辽阳中华大街东段附近,,,辽阳
辽阳新成中学,辽阳东京陵乡新成村,,,辽阳
灯塔大河南镇中学,辽阳灯塔市,,,辽阳
辽阳农场中学,东宁卫乡东宁卫村,,,辽阳
辽阳五星镇中学,辽宁省辽阳市灯塔市小小线,,,辽阳
辽阳双台子中学,辽阳沙岭镇双台子村,,,辽阳
辽阳十四中学,解放路,,,辽阳
灯塔铧子乡中学,辽阳铧子镇中心街,,,辽阳
辽阳县小屯镇中学,辽宁省辽阳市辽阳县沈环线,,,辽阳
西马峰镇中学,辽宁省辽阳市灯塔市202国道,,,辽阳
灯塔沙浒镇中学,辽阳灯塔市沙浒镇,,,辽阳
灯塔鸡冠山乡中学,鸡冠山乡牛棚村,,,辽阳
辽阳县柳壕镇中学,辽宁省辽阳市辽阳县刘柳壕村,,,辽阳
辽阳县穆家中学,辽宁省辽阳市辽阳县穆家镇,,,辽阳
灯塔沈旦镇中学,,,,辽阳
弓长岭区中学,,,,辽阳
辽阳弓长岭区汤河学校,,,,辽阳
辽阳农场学校,,,,辽阳
辽阳河东第一中学,,,,辽阳
辽阳河东第一高级中学,,,,辽阳
灯塔罗大台镇中学,灯塔市罗大台镇罗大台村,,,辽阳
辽阳上麻屯中学,辽宁省辽阳市辽阳县河栏镇,,,辽阳
辽阳石油化纤公司高级中学,辽阳市宏伟区健康路24号,0419-5313096,,辽阳
乐山沙湾区沫若中学,沙湾区石子西路81号,0833-3444896,,乐山
乐山白马中学,四川省乐山市305省道,,,乐山
桂花桥中学,四川省乐山市峨眉山市103省道,,,乐山
福禄中学,四川省乐山市103省道,,,乐山
桥沟中学,四川省乐山市桥沟中学,,,乐山
木城中学,四川省乐山市木城中学,,,乐山
牟子中学,四川省乐山市牟子中学,,,乐山
黄丹中学,四川省乐山市黄丹中学,,,乐山
青平中学,四川省乐山市青平中学,,,乐山
甘霖中学,四川省乐山市夹江县305省道,,,乐山
罗目中学,四川省乐山市罗目中学,,,乐山
峨山中学,乐山峨眉山市,,,乐山
高桥中学,四川省乐山市峨眉山市306省道,,,乐山
井研县井研中学,井研县和平街1号,0833-3713012,,乐山
井研县实验高级中学,东门新村9,,,乐山
乐山下溪中学,四川省乐山市马边彝族自治县共和街65号,,,乐山
白鹤中学,四川省乐山市文化路782号,,,乐山
金口河区中学,四川省乐山市滨河路三段129号,,,乐山
沐川县职业中学,乐山沐溪镇交通街278号,,,乐山
峨边彝族自治县职业高级中学,平安路10,,,乐山
乐山草堂高级中学,紫云街草堂寺28号,,,乐山
乐山田家炳实验中学,月咡塘街66,,,乐山
乐山峨眉第二中学,峨眉山市名山路东段126号,0833-5522797,,乐山
峨眉山第一中学,峨眉山市西正街161号,0833-5522230,,乐山
夹江中学,夹江县漹城镇西河路252号,0833-5672571,,乐山
沐川中学,沐川县交通街575号,0833-4603697,,乐山
千佛中学,四川省乐山市千佛中学,,,乐山
乐山中区九峰中学,乐山市中区,,,乐山
乐山犍为县新民中学,四川省乐山市乐山犍为县新民中学,,,乐山
竹根镇中学,四川省乐山市五通桥区竹根镇建设街294#,0833-3357315,,乐山
沐川实验中学,四川省乐山市沐川实验中学,,,乐山
乐山第一中学,四川省乐山市乐山第一中学,,,乐山
乐山第一职业中学,四川省乐山市乐山第一职业中学,,,乐山
犍为县第一中学,四川省乐山市犍为县第一中学,,,乐山
峨眉山第二中学,四川省乐山市峨眉山第二中学,,,乐山
峨眉山第三中学,四川省乐山市峨眉山第三中学,,,乐山
夹江县甘露初级中学,四川省乐山市夹江县甘露初级中学,,,乐山
夹江县甘霖初级中学,四川省乐山市夹江县甘霖初级中学,,,乐山
乐山佑君初级中学,四川省乐山市乐山佑君初级中学,,,乐山
乐山草堂中学,四川省乐山市乐山草堂高中,,,乐山
犍为第二中学,四川省乐山市犍为第二中学,,,乐山
夹江第二中学,四川省乐山市夹江第二中学,,,乐山
乐山沙湾区嘉农第二中学,四川省乐山市乐山沙湾区嘉农第二中学,,,乐山
犍为县罗城中学,四川省乐山市犍为县罗城高中,,,乐山
乐山第四中学,四川省乐山市乐山第四中学,,,乐山
乐山第七中学,四川省乐山市乐山第七中学,,,乐山
乐山沙湾太平镇中学,四川省乐山市乐山沙湾太平镇中学,,,乐山
武汉大学附属中学,四川省乐山市武汉大学附属中学,,,乐山
峨眉山第四中学,四川省乐山市峨眉山第四中学,,,乐山
洪雅中学,四川省乐山市洪雅中学,,,乐山
沐川县第六中学,四川省乐山市沐川县第六中学,,,乐山
乐山沙湾区踏水镇中学,四川省乐山市乐山沙湾区踏水镇中学,,,乐山
乐山新桥中学,沙嘴街71号,,,乐山
乐山实验中学,乐山,,,乐山
乐山第一职业高级中学,四川省乐山市滨江路中段,,,乐山
犍为县职业高级中学,四川省乐山市犍为县滨江路,,,乐山
大渡河高级中学,四川省乐山市大渡河高级中学,,,乐山
井研县职业中学,四川省乐山市井研县建设路,,,乐山
童家中学,童家镇复兴街十三号,,,乐山
胜利中学,306省道,,,乐山
舞云中学,四川省乐山市犍为县213国道,,,乐山
犍为县玉屏中学,四川省乐山市玉屏乡,,,乐山
夹江县云吟职业中学,乐山峨眉山市,,,乐山
夹江中学南校区,四川省乐山市夹江县迎春西路,,,乐山
井研县三江中学,四川省乐山市三江镇,,,乐山
龙池镇中学,四川省乐山市峨眉山市306省道,,,乐山
大楠中学,四川省乐山市沐川县213国道,,,乐山
新场镇中学,四川省乐山市新场镇中学,,,乐山
荣丁镇中学,四川省乐山市荣丁镇中学校,,,乐山
吴场镇中学,四川省乐山市吴场镇中学,,,乐山
乐山中区车子镇中学,四川省乐山市车子镇平安村6组,,,乐山
乐山中区土主中学,四川省乐山市土主镇纺织东路,,,乐山
井研县分全中学,四川省乐山市分全乡,,,乐山
普仁中学,乐山市中区普仁乡普仁街,,,乐山
定文中学,四川省乐山市犍为县213国道,,,乐山
大为中学,四川省乐山市峨边彝族自治县306省道,,,乐山
新坪中学,四川省乐山市峨眉山市103省道,,,乐山
佑君中学,四川省乐山市213国道,,,乐山
土门乡中学,四川省乐山市夹江县103省道,,,乐山
九井中学,四川省乐山市犍为县213国道,,,乐山
富和中学,四川省乐山市沐川县213国道,,,乐山
井研县高等职业中学,城西街,,,乐山
金峰中学,四川省乐山市井研县213国道,,,乐山
茨竹中学,禹王街148,,,乐山
峨边民族中学,四川省乐山市峨边彝族自治县平安路,,,乐山
利店中学,四川省乐山市沐川县103省道,,,乐山
靛兰坝中学,四川省乐山市马边彝族自治县马新路,,,乐山
井研县三教乡中学,四川省乐山市三教乡三教街,,,乐山
乐山第十二中学,四川省乐山市苏稽镇,,,乐山
伏龙中学,四川省乐山市犍为县213国道,,,乐山
绥山中学,四川省乐山市绥山中学,,,乐山
麻柳中学,四川省乐山市麻柳中学,,,乐山
歇马中学,四川省乐山市歇马中学,,,乐山
岷东中学,四川省乐山市岷东中学,,,乐山
踏水中学,四川省乐山市踏水中学,,,乐山
石龙乡中学,四川省乐山市石龙乡中学,,,乐山
犍为县铁炉中学,四川省乐山市铁炉乡,,,乐山
乌抛中学,四川省乐山市乌抛中学,,,乐山
马边彝族自治县民族中学,四川省乐山市马边彝族自治县民族中学,,,乐山
井研县纯复乡中学,四川省乐山市纯复乡,,,乐山
龙沱中学,四川省乐山市龙沱中学,,,乐山
金河中学,四川省乐山市金河中学,,,乐山
双溪乡中学,四川省乐山市双溪乡中学,,,乐山
梧凤乡中学,四川省乐山市梧凤乡中学,,,乐山
马边彝族自治县民族职业中学张坝中学,四川省乐山市马边彝族自治县民族职业中学张坝中学,,,乐山
乐山中区剑峰中学,四川省乐山市剑峰街村88号,,,乐山
迎凤中学,四川省乐山市306省道,,,乐山
三洞镇博爱中学,四川省乐山市夹江县103省道,,,乐山
文孔中学,四川省乐山市犍为县滨江路,,,乐山
国营八一四厂延风中学,四川省乐山市293信箱16分箱,,,乐山
关庙中学,四川省乐山市青关路,,,乐山
幸福中学,四川省乐山市沐川县213国道,,,乐山
甘露中学,四川省乐山市夹江县305省道,,,乐山
双古中学,四川省乐山市井研县305省道,,,乐山
犍为县清溪中学,四川省乐山市犍为县清溪镇,0833-4375372,,乐山
峨边中学,峨边沙坪镇,5258611,,乐山
乐山第二中学,四川省乐山市乐山第二中学,,,乐山
马踏镇初级中学,四川省乐山市马踏镇初级中学,,,乐山
乐山第五中学,四川省乐山市乐山第五中学,,,乐山
眉山洪雅中学,四川省乐山市眉山洪雅中学,,,乐山
乐山马边中学,四川省乐山市乐山马边中学,,,乐山
夹江实验中学,四川省乐山市夹江县305省道,,,乐山
乐山沙湾职业高级中学,乐山沙湾区,,,乐山
乐山普兴中学,四川省乐山市峨眉山市小悦公路,,,乐山
马边彝族自治县中学,西街33,,,乐山
乐山峨边西河中学,四川省乐山市乐山峨边西河中学,,,乐山
五渡中学,四川省乐山市五渡中学,,,乐山
甘江镇中学,四川省乐山市甘江镇中学,,,乐山
黄土中学,305省道,,,乐山
峨眉山职业中学,四川省乐山市双福镇中兴街,,,乐山
罗城中学,四川省乐山市罗城中学,,,乐山
乐山舞雩中学,四川省乐山市犍为县213国道,,,乐山
研城中学,四川省乐山市井研县建设路,,,乐山
乐山纪家中学,四川省乐山市纪家乡街上,,,乐山
乐山美卓博爱中学,103省道,,,乐山
乐山悦来中学,四川省乐山市悦来乡,,,乐山
